consult_id,customer_id,survey_date,score,comment
CNS00114,CUST0077,2024-12-06,5,매우 만족
CNS00115,CUST0422,2024-02-04,3,보통
CNS00116,CUST0192,2024-07-16,5,매우 만족
CNS00117,CUST0341,2024-04-24,5,매우 만족
CNS00118,CUST0318,2024-05-01,2,불만족
CNS00119,CUST0496,2024-09-23,4,만족
CNS00120,CUST0189,2024-05-13,4,만족
CNS00121,CUST0122,2024-07-23,4,만족
CNS00122,CUST0473,2024-01-05,5,매우 만족
CNS00123,CUST0442,2024-08-12,5,매우 만족
CNS00124,CUST0492,2024-04-05,5,매우 만족
CNS00125,CUST0038,2024-06-01,4,만족
CNS00126,CUST0269,2024-07-31,5,매우 만족
CNS00127,CUST0050,2024-04-08,5,매우 만족
CNS00128,CUST0203,2024-06-20,4,만족
CNS00129,CUST0210,2024-07-01,2,불만족
CNS00130,CUST0486,2024-07-27,4,만족
CNS00131,CUST0049,2024-02-07,3,보통
CNS00132,CUST0281,2024-10-30,5,매우 만족
CNS00133,CUST0033,2024-07-14,5,매우 만족
CNS00134,CUST0381,2024-12-31,4,만족
CNS00135,CUST0481,2024-12-06,3,보통
CNS00136,CUST0422,2024-10-06,5,매우 만족
CNS00137,CUST0201,2024-10-19,4,만족
CNS00138,CUST0334,2024-12-23,5,매우 만족
CNS00139,CUST0236,2024-12-05,5,매우 만족
CNS00140,CUST0050,2024-04-10,4,만족
CNS00141,CUST0173,2024-01-26,2,불만족
CNS00142,CUST0061,2024-06-14,3,보통
CNS00143,CUST0011,2024-06-07,3,보통
CNS00144,CUST0402,2024-08-31,4,만족
CNS00145,CUST0403,2024-01-24,4,만족
CNS00146,CUST0489,2024-10-05,2,불만족
CNS00147,CUST0168,2024-05-29,3,보통
CNS00148,CUST0053,2024-04-16,3,보통
CNS00149,CUST0152,2024-06-04,4,만족
CNS00150,CUST0117,2024-12-22,5,매우 만족
CNS00151,CUST0053,2024-10-09,5,매우 만족
CNS00152,CUST0069,2024-07-08,4,만족
CNS00153,CUST0269,2024-07-09,4,만족
CNS00154,CUST0262,2024-12-19,5,매우 만족
CNS00155,CUST0144,2024-10-06,3,보통
CNS00156,CUST0410,2024-04-22,4,만족
CNS00157,CUST0415,2024-03-07,5,매우 만족
CNS00158,CUST0182,2024-11-23,3,보통
CNS00159,CUST0154,2024-01-30,5,매우 만족
CNS00160,CUST0299,2024-06-27,5,매우 만족
CNS00161,CUST0476,2024-09-26,4,만족
CNS00162,CUST0426,2024-07-07,5,매우 만족
CNS00163,CUST0152,2024-12-14,4,만족
CNS00164,CUST0023,2024-12-15,4,만족
CNS00165,CUST0069,2024-01-20,5,매우 만족
CNS00166,CUST0238,2024-02-12,5,매우 만족
CNS00167,CUST0366,2024-09-10,4,만족
CNS00168,CUST0059,2024-12-30,4,만족
CNS00169,CUST0216,2024-09-20,5,매우 만족
CNS00170,CUST0075,2024-12-31,4,만족
CNS00171,CUST0365,2024-05-30,3,보통
CNS00172,CUST0059,2024-03-09,5,매우 만족
CNS00173,CUST0223,2024-02-27,4,만족
CNS00174,CUST0305,2024-01-25,5,매우 만족
CNS00175,CUST0396,2024-02-04,3,보통
CNS00176,CUST0083,2024-07-03,4,만족
CNS00177,CUST0154,2024-07-07,4,만족
CNS00178,CUST0146,2024-07-07,3,보통
CNS00179,CUST0192,2024-04-07,4,만족
CNS00180,CUST0165,2024-03-14,3,보통
CNS00181,CUST0499,2024-05-23,5,매우 만족
CNS00182,CUST0255,2024-01-12,3,보통
CNS00183,CUST0185,2024-01-30,4,만족
CNS00184,CUST0344,2024-10-07,4,만족
CNS00185,CUST0325,2024-12-16,5,매우 만족
CNS00186,CUST0235,2024-05-12,4,만족
CNS00187,CUST0325,2024-07-14,4,만족
CNS00188,CUST0498,2024-01-24,5,매우 만족
CNS00189,CUST0113,2024-02-07,3,보통
CNS00190,CUST0473,2024-06-22,4,만족
CNS00191,CUST0027,2024-05-06,4,만족
CNS00192,CUST0386,2024-07-04,5,매우 만족
CNS00193,CUST0309,2024-11-16,4,만족
CNS00194,CUST0452,2024-02-15,4,만족
CNS00195,CUST0106,2024-01-23,5,매우 만족
CNS00196,CUST0442,2024-08-30,5,매우 만족
CNS00197,CUST0185,2024-04-19,3,보통
CNS00198,CUST0179,2024-09-10,4,만족
CNS00199,CUST0258,2024-03-06,5,매우 만족
CNS00200,CUST0109,2024-06-29,3,보통
CNS00201,CUST0398,2024-09-14,4,만족
CNS00202,CUST0159,2024-02-17,5,매우 만족
CNS00203,CUST0248,2024-09-28,3,보통
CNS00204,CUST0477,2024-08-28,5,매우 만족
CNS00205,CUST0069,2024-04-24,2,불만족
CNS00206,CUST0080,2024-04-09,4,만족
CNS00207,CUST0390,2024-03-09,4,만족
CNS00208,CUST0270,2024-07-24,5,매우 만족
CNS00209,CUST0195,2024-08-13,1,매우 불만족
CNS00210,CUST0413,2024-06-11,3,보통
CNS00211,CUST0299,2024-04-23,4,만족
CNS00212,CUST0119,2024-12-23,5,매우 만족
CNS00213,CUST0363,2024-08-26,4,만족
CNS00214,CUST0306,2024-10-12,5,매우 만족
CNS00215,CUST0038,2024-03-26,5,매우 만족
CNS00216,CUST0117,2024-09-25,4,만족
CNS00217,CUST0452,2024-03-09,3,보통
CNS00218,CUST0464,2024-07-09,4,만족
CNS00219,CUST0415,2024-02-14,3,보통
CNS00220,CUST0092,2024-06-04,5,매우 만족
CNS00221,CUST0473,2024-01-09,3,보통
CNS00222,CUST0403,2024-10-10,3,보통
CNS00223,CUST0259,2024-11-25,5,매우 만족
CNS00224,CUST0484,2024-07-09,1,매우 불만족
CNS00225,CUST0045,2024-06-15,5,매우 만족
CNS00226,CUST0484,2024-06-09,5,매우 만족
CNS00227,CUST0218,2024-08-22,4,만족
CNS00228,CUST0464,2024-10-07,4,만족
CNS00229,CUST0036,2024-08-12,5,매우 만족
CNS00230,CUST0374,2024-08-06,3,보통
CNS00231,CUST0085,2024-10-15,4,만족
CNS00232,CUST0100,2024-05-28,5,매우 만족
CNS00233,CUST0132,2024-08-28,4,만족
CNS00234,CUST0033,2024-12-08,2,불만족
CNS00235,CUST0440,2024-10-05,4,만족
CNS00236,CUST0498,2024-05-16,4,만족
CNS00237,CUST0157,2024-10-06,4,만족
CNS00238,CUST0439,2024-05-24,5,매우 만족
CNS00239,CUST0425,2024-09-22,5,매우 만족
CNS00240,CUST0325,2024-11-24,4,만족
CNS00241,CUST0089,2024-11-10,5,매우 만족
CNS00242,CUST0157,2024-09-04,3,보통
CNS00243,CUST0283,2024-10-23,4,만족
CNS00244,CUST0121,2024-01-31,4,만족
CNS00245,CUST0491,2024-07-04,4,만족
CNS00246,CUST0477,2024-09-05,4,만족
CNS00247,CUST0424,2024-07-10,4,만족
CNS00248,CUST0449,2024-08-28,5,매우 만족
CNS00249,CUST0353,2024-01-02,4,만족
CNS00250,CUST0076,2024-04-25,3,보통
CNS00251,CUST0479,2024-05-27,5,매우 만족
CNS00252,CUST0444,2024-06-08,3,보통
CNS00253,CUST0261,2024-12-25,3,보통
CNS00254,CUST0416,2024-06-15,5,매우 만족
CNS00255,CUST0409,2024-11-20,5,매우 만족
CNS00256,CUST0118,2024-09-28,3,보통
CNS00257,CUST0499,2024-07-10,4,만족
CNS00258,CUST0483,2024-05-07,3,보통
CNS00259,CUST0218,2024-11-26,4,만족
CNS00260,CUST0461,2024-02-26,4,만족
CNS00261,CUST0357,2024-07-25,5,매우 만족
CNS00262,CUST0182,2024-02-26,5,매우 만족
CNS00263,CUST0170,2024-12-05,4,만족
CNS00264,CUST0017,2024-12-17,4,만족
CNS00265,CUST0177,2024-12-09,4,만족
CNS00266,CUST0049,2024-03-15,3,보통
CNS00267,CUST0182,2024-08-08,3,보통
CNS00268,CUST0126,2024-02-18,4,만족
CNS00269,CUST0121,2024-03-24,4,만족
CNS00270,CUST0319,2024-12-10,3,보통
CNS00271,CUST0202,2024-12-06,5,매우 만족
CNS00272,CUST0439,2024-10-27,3,보통
CNS00273,CUST0485,2024-05-18,5,매우 만족
CNS00274,CUST0109,2024-09-19,1,매우 불만족
CNS00275,CUST0109,2024-01-12,3,보통
CNS00276,CUST0238,2024-01-05,5,매우 만족
CNS00277,CUST0061,2024-08-29,5,매우 만족
CNS00278,CUST0491,2024-09-12,3,보통
CNS00279,CUST0018,2024-09-29,4,만족
CNS00280,CUST0403,2024-05-07,5,매우 만족
CNS00281,CUST0229,2024-05-18,4,만족
CNS00282,CUST0200,2024-01-17,3,보통
CNS00283,CUST0028,2024-09-11,5,매우 만족
CNS00284,CUST0375,2024-11-30,5,매우 만족
CNS00285,CUST0473,2024-11-01,5,매우 만족
CNS00286,CUST0122,2024-07-10,4,만족
CNS00287,CUST0027,2024-11-18,4,만족
CNS00288,CUST0398,2024-01-17,4,만족
CNS00289,CUST0356,2024-06-17,4,만족
CNS00290,CUST0083,2024-08-06,4,만족
CNS00291,CUST0094,2024-11-06,2,불만족
CNS00292,CUST0398,2024-07-28,2,불만족
CNS00293,CUST0173,2024-07-17,4,만족
CNS00294,CUST0139,2024-02-03,5,매우 만족
CNS00295,CUST0035,2024-03-22,4,만족
CNS00296,CUST0357,2024-05-28,5,매우 만족
CNS00297,CUST0403,2024-11-20,2,불만족
CNS00298,CUST0325,2024-07-16,4,만족
CNS00299,CUST0219,2024-10-16,4,만족
CNS00300,CUST0316,2024-11-30,3,보통
CNS00301,CUST0090,2024-08-28,5,매우 만족
CNS00302,CUST0120,2024-08-28,2,불만족
CNS00303,CUST0121,2024-10-30,3,보통
CNS00304,CUST0360,2024-02-07,5,매우 만족
CNS00305,CUST0157,2024-08-12,4,만족
CNS00306,CUST0424,2024-12-14,4,만족
CNS00307,CUST0058,2024-01-20,3,보통
CNS00308,CUST0007,2024-10-10,5,매우 만족
CNS00309,CUST0212,2024-10-09,5,매우 만족
CNS00310,CUST0467,2024-12-10,4,만족
CNS00311,CUST0040,2024-10-16,4,만족
CNS00312,CUST0053,2024-07-20,4,만족
CNS00313,CUST0367,2024-11-04,4,만족
CNS00314,CUST0416,2024-07-14,3,보통
CNS00315,CUST0143,2024-07-02,4,만족
CNS00316,CUST0188,2024-06-02,2,불만족
CNS00317,CUST0473,2024-07-15,4,만족
CNS00318,CUST0022,2024-07-20,5,매우 만족
CNS00319,CUST0481,2024-10-26,3,보통
CNS00320,CUST0154,2024-04-22,3,보통
CNS00321,CUST0325,2024-12-27,4,만족
CNS00322,CUST0362,2024-08-06,5,매우 만족
CNS00323,CUST0002,2024-10-16,3,보통
CNS00324,CUST0283,2024-04-11,5,매우 만족
CNS00325,CUST0350,2024-07-17,5,매우 만족
CNS00326,CUST0009,2024-10-04,5,매우 만족
CNS00327,CUST0297,2024-01-21,5,매우 만족
CNS00328,CUST0069,2024-04-07,4,만족
CNS00329,CUST0061,2024-10-06,4,만족
CNS00330,CUST0473,2024-09-12,5,매우 만족
CNS00331,CUST0212,2024-07-25,5,매우 만족
CNS00332,CUST0157,2024-12-25,2,불만족
CNS00333,CUST0117,2024-08-08,4,만족
CNS00334,CUST0087,2024-06-29,5,매우 만족
CNS00335,CUST0028,2024-02-17,5,매우 만족
CNS00336,CUST0360,2024-12-06,4,만족
CNS00337,CUST0018,2024-10-23,5,매우 만족
CNS00338,CUST0130,2024-05-15,5,매우 만족
CNS00339,CUST0236,2024-11-25,5,매우 만족
CNS00340,CUST0143,2024-03-22,4,만족
CNS00341,CUST0122,2024-06-12,5,매우 만족
CNS00342,CUST0053,2024-02-13,3,보통
CNS00343,CUST0483,2024-12-19,4,만족
CNS00344,CUST0144,2024-12-12,4,만족
CNS00345,CUST0040,2024-11-17,5,매우 만족
CNS00346,CUST0200,2024-09-19,5,매우 만족
CNS00347,CUST0226,2024-07-07,4,만족
CNS00348,CUST0390,2024-07-28,1,매우 불만족
CNS00349,CUST0281,2024-06-05,5,매우 만족
CNS00350,CUST0356,2024-10-24,4,만족
CNS00351,CUST0127,2024-01-21,2,불만족
CNS00352,CUST0464,2024-01-16,5,매우 만족
CNS00353,CUST0325,2024-01-15,1,매우 불만족
CNS00354,CUST0437,2024-09-15,4,만족
CNS00355,CUST0303,2024-03-07,5,매우 만족
CNS00356,CUST0084,2024-11-20,4,만족
CNS00357,CUST0324,2024-04-24,5,매우 만족
CNS00358,CUST0195,2024-08-07,2,불만족
CNS00359,CUST0083,2024-01-08,2,불만족
CNS00360,CUST0357,2024-04-10,3,보통
CNS00361,CUST0145,2024-03-27,5,매우 만족
CNS00362,CUST0360,2024-05-07,3,보통
CNS00363,CUST0177,2024-01-05,3,보통
CNS00364,CUST0189,2024-08-22,4,만족
CNS00365,CUST0456,2024-08-22,5,매우 만족
CNS00366,CUST0467,2024-10-25,5,매우 만족
CNS00367,CUST0452,2024-09-09,4,만족
CNS00368,CUST0287,2024-04-22,4,만족
CNS00369,CUST0297,2024-06-13,3,보통
CNS00370,CUST0294,2024-12-31,4,만족
CNS00371,CUST0411,2024-05-27,3,보통
CNS00372,CUST0378,2024-08-08,5,매우 만족
CNS00373,CUST0402,2024-08-02,3,보통
CNS00374,CUST0157,2024-01-17,4,만족
CNS00375,CUST0283,2024-01-14,2,불만족
CNS00376,CUST0332,2024-12-05,4,만족
CNS00377,CUST0490,2024-07-20,3,보통
CNS00378,CUST0157,2024-12-15,5,매우 만족
CNS00379,CUST0283,2024-04-22,3,보통
CNS00380,CUST0015,2024-08-04,5,매우 만족
CNS00381,CUST0212,2024-12-07,3,보통
CNS00382,CUST0449,2024-07-27,2,불만족
CNS00383,CUST0075,2024-08-04,3,보통
CNS00384,CUST0193,2024-10-11,1,매우 불만족
CNS00385,CUST0375,2024-12-27,3,보통
CNS00386,CUST0305,2024-06-24,4,만족
CNS00387,CUST0029,2024-03-11,4,만족
CNS00388,CUST0106,2024-11-17,1,매우 불만족
CNS00389,CUST0283,2024-05-19,2,불만족
CNS00390,CUST0270,2024-11-05,3,보통
CNS00391,CUST0195,2024-10-13,4,만족
CNS00392,CUST0278,2024-08-20,4,만족
CNS00393,CUST0208,2024-05-29,5,매우 만족
CNS00394,CUST0273,2024-12-03,2,불만족
CNS00395,CUST0465,2024-11-30,3,보통
CNS00396,CUST0130,2024-01-10,5,매우 만족
CNS00397,CUST0441,2024-05-13,5,매우 만족
CNS00398,CUST0498,2024-01-30,5,매우 만족
CNS00399,CUST0229,2024-12-30,5,매우 만족
CNS00400,CUST0205,2024-05-10,2,불만족
CNS00401,CUST0429,2024-04-22,5,매우 만족
CNS00402,CUST0040,2024-08-16,5,매우 만족
CNS00403,CUST0464,2024-11-19,5,매우 만족
CNS00404,CUST0391,2024-01-05,3,보통
CNS00405,CUST0366,2024-03-31,4,만족
CNS00406,CUST0464,2024-08-28,5,매우 만족
CNS00407,CUST0325,2024-06-29,3,보통
CNS00408,CUST0212,2024-10-17,5,매우 만족
CNS00409,CUST0357,2024-11-02,4,만족
CNS00410,CUST0367,2024-03-03,4,만족
CNS00411,CUST0305,2024-12-09,3,보통
CNS00412,CUST0491,2024-02-27,4,만족
CNS00413,CUST0028,2024-04-16,4,만족
CNS00414,CUST0242,2024-03-20,2,불만족
CNS00415,CUST0185,2024-05-21,5,매우 만족
CNS00416,CUST0162,2024-08-09,5,매우 만족
CNS00417,CUST0024,2024-06-19,4,만족
CNS00418,CUST0071,2024-05-18,2,불만족
CNS00419,CUST0398,2024-02-06,3,보통
CNS00420,CUST0173,2024-10-05,5,매우 만족
CNS00421,CUST0093,2024-04-28,4,만족
CNS00422,CUST0319,2024-11-02,4,만족
CNS00423,CUST0024,2024-10-21,4,만족
CNS00424,CUST0352,2024-08-11,4,만족
CNS00425,CUST0440,2024-12-11,3,보통
CNS00426,CUST0321,2024-07-07,4,만족
CNS00427,CUST0119,2024-11-12,4,만족
CNS00428,CUST0458,2024-02-16,5,매우 만족
CNS00429,CUST0291,2024-01-13,4,만족
CNS00430,CUST0324,2024-11-26,4,만족
CNS00431,CUST0362,2024-02-05,4,만족
CNS00432,CUST0054,2024-07-09,2,불만족
CNS00433,CUST0040,2024-01-12,5,매우 만족
CNS00434,CUST0140,2024-06-05,4,만족
CNS00435,CUST0278,2024-12-18,4,만족
CNS00436,CUST0097,2024-07-10,3,보통
CNS00437,CUST0351,2024-12-03,2,불만족
CNS00438,CUST0349,2024-07-28,5,매우 만족
CNS00439,CUST0075,2024-07-17,5,매우 만족
CNS00440,CUST0412,2024-02-21,5,매우 만족
CNS00441,CUST0113,2024-05-30,5,매우 만족
CNS00442,CUST0053,2024-03-11,4,만족
CNS00443,CUST0177,2024-01-04,4,만족
CNS00444,CUST0017,2024-08-21,5,매우 만족
CNS00445,CUST0130,2024-01-30,4,만족
CNS00446,CUST0117,2024-11-22,3,보통
CNS00447,CUST0110,2024-11-16,2,불만족
CNS00448,CUST0159,2024-07-11,5,매우 만족
CNS00449,CUST0192,2024-03-20,5,매우 만족
CNS00450,CUST0093,2024-02-04,5,매우 만족
CNS00451,CUST0407,2024-06-21,5,매우 만족
CNS00452,CUST0482,2024-09-12,4,만족
CNS00453,CUST0011,2024-05-11,3,보통
CNS00454,CUST0033,2024-01-15,4,만족
CNS00455,CUST0196,2024-06-13,4,만족
CNS00456,CUST0177,2024-05-08,4,만족
CNS00457,CUST0381,2024-07-07,4,만족
CNS00458,CUST0173,2024-01-21,5,매우 만족
CNS00459,CUST0498,2024-12-26,2,불만족
CNS00460,CUST0191,2024-04-24,4,만족
CNS00461,CUST0136,2024-11-22,5,매우 만족
CNS00462,CUST0294,2024-03-02,1,매우 불만족
CNS00463,CUST0214,2024-11-23,4,만족
CNS00464,CUST0143,2024-04-12,3,보통
CNS00465,CUST0091,2024-03-19,4,만족
CNS00466,CUST0461,2024-04-30,4,만족
CNS00467,CUST0479,2024-05-18,3,보통
CNS00468,CUST0225,2024-07-25,3,보통
CNS00469,CUST0387,2024-06-02,4,만족
CNS00470,CUST0408,2024-01-09,2,불만족
CNS00471,CUST0325,2024-10-30,3,보통
CNS00472,CUST0144,2024-02-15,5,매우 만족
CNS00473,CUST0368,2024-02-29,2,불만족
CNS00474,CUST0474,2024-01-23,4,만족
CNS00475,CUST0335,2024-12-24,4,만족
CNS00476,CUST0242,2024-10-12,4,만족
CNS00477,CUST0145,2024-09-16,5,매우 만족
CNS00478,CUST0189,2024-07-10,4,만족
CNS00479,CUST0307,2024-11-06,5,매우 만족
CNS00480,CUST0019,2024-04-26,4,만족
CNS00481,CUST0177,2024-02-05,4,만족
CNS00482,CUST0120,2024-07-10,4,만족
CNS00483,CUST0369,2024-11-19,4,만족
CNS00484,CUST0017,2024-05-19,5,매우 만족
CNS00485,CUST0273,2024-05-11,4,만족
CNS00486,CUST0240,2024-07-10,4,만족
CNS00487,CUST0403,2024-05-26,5,매우 만족
CNS00488,CUST0001,2024-04-08,3,보통
CNS00489,CUST0412,2024-06-17,2,불만족
CNS00490,CUST0426,2024-07-08,5,매우 만족
CNS00491,CUST0221,2024-05-22,5,매우 만족
CNS00492,CUST0219,2024-11-30,5,매우 만족
CNS00493,CUST0307,2024-12-21,2,불만족
CNS00494,CUST0454,2024-01-05,3,보통
CNS00495,CUST0152,2024-11-12,3,보통
CNS00496,CUST0219,2024-01-08,4,만족
CNS00497,CUST0018,2024-06-14,4,만족
CNS00498,CUST0349,2024-02-01,4,만족
CNS00499,CUST0080,2024-03-23,4,만족
CNS00500,CUST0442,2024-07-22,4,만족
CNS00501,CUST0471,2024-04-29,4,만족
CNS00502,CUST0338,2024-01-18,5,매우 만족
CNS00503,CUST0027,2024-03-25,4,만족
CNS00504,CUST0126,2024-09-25,5,매우 만족
CNS00505,CUST0345,2024-01-07,3,보통
CNS00506,CUST0127,2024-09-26,5,매우 만족
CNS00507,CUST0283,2024-05-09,4,만족
CNS00508,CUST0157,2024-10-19,4,만족
CNS00509,CUST0058,2024-09-28,4,만족
CNS00510,CUST0163,2024-04-25,4,만족
CNS00511,CUST0402,2024-03-02,5,매우 만족
CNS00512,CUST0482,2024-08-09,4,만족
CNS00513,CUST0156,2024-05-11,5,매우 만족
CNS00514,CUST0495,2024-12-02,4,만족
CNS00515,CUST0337,2024-08-29,4,만족
CNS00516,CUST0109,2024-06-30,2,불만족
CNS00517,CUST0425,2024-02-17,5,매우 만족
CNS00518,CUST0243,2024-03-04,5,매우 만족
CNS00519,CUST0049,2024-03-30,5,매우 만족
CNS00520,CUST0002,2024-04-28,3,보통
CNS00521,CUST0022,2024-02-04,5,매우 만족
CNS00522,CUST0106,2024-05-16,3,보통
CNS00523,CUST0387,2024-03-08,3,보통
CNS00524,CUST0126,2024-11-20,5,매우 만족
CNS00525,CUST0163,2024-03-23,2,불만족
CNS00526,CUST0398,2024-04-21,4,만족
CNS00527,CUST0027,2024-12-26,5,매우 만족
CNS00528,CUST0229,2024-09-25,5,매우 만족
CNS00529,CUST0040,2024-06-16,4,만족
CNS00530,CUST0219,2024-09-21,5,매우 만족
CNS00531,CUST0145,2024-12-03,4,만족
CNS00532,CUST0038,2024-04-26,3,보통
CNS00533,CUST0406,2024-09-10,4,만족
CNS00534,CUST0381,2024-07-25,5,매우 만족
CNS00535,CUST0189,2024-02-17,3,보통
CNS00536,CUST0422,2024-11-12,4,만족
CNS00537,CUST0214,2024-08-28,3,보통
CNS00538,CUST0064,2024-04-22,4,만족
CNS00539,CUST0426,2024-03-24,4,만족
CNS00540,CUST0008,2024-08-21,5,매우 만족
CNS00541,CUST0227,2024-11-07,4,만족
CNS00542,CUST0048,2024-12-05,5,매우 만족
CNS00543,CUST0097,2024-11-11,5,매우 만족
CNS00544,CUST0429,2024-05-20,3,보통
CNS00545,CUST0048,2024-01-30,3,보통
CNS00546,CUST0367,2024-04-02,3,보통
CNS00547,CUST0427,2024-02-12,3,보통
CNS00548,CUST0343,2024-10-10,4,만족
CNS00549,CUST0048,2024-09-29,3,보통
CNS00550,CUST0404,2024-01-30,3,보통
CNS00551,CUST0401,2024-11-03,4,만족
CNS00552,CUST0468,2024-02-29,5,매우 만족
CNS00553,CUST0211,2024-11-01,3,보통
CNS00554,CUST0248,2024-12-20,1,매우 불만족
CNS00555,CUST0349,2024-01-28,5,매우 만족
