consult_id,customer_id,consult_date,channel,agent_id,category,handle_time_min,resolved_yn,is_repeat
CNS00059,CUST0083,2024-03-16,앱,AGT013,서비스불만,11.6,N,N
CNS00060,CUST0050,2024-10-08,홈페이지,AGT019,서비스불만,2.1,Y,N
CNS00061,CUST0361,2024-12-07,전화,AGT010,결제오류,4.5,N,N
CNS00062,CUST0058,2024-12-30,앱,AGT011,결제오류,5.9,N,N
CNS00063,CUST0102,2024-12-22,앱,AGT018,요금문의,8.0,Y,N
CNS00064,CUST0008,2024-05-01,앱,AGT010,결제오류,4.5,Y,N
CNS00065,CUST0367,2024-10-08,앱,AGT014,서비스불만,17.5,Y,N
CNS00066,CUST0270,2024-08-23,앱,AGT018,상품문의,5.7,Y,N
CNS00067,CUST0080,2024-07-09,앱,AGT007,결제오류,9.2,Y,N
CNS00068,CUST0273,2024-09-20,앱,AGT007,서비스불만,7.4,Y,N
CNS00069,CUST0103,2024-04-26,앱,AGT023,요금문의,6.8,Y,N
CNS00070,CUST0300,2024-11-02,전화,AGT025,요금문의,4.2,Y,N
CNS00071,CUST0415,2024-12-05,매장,AGT004,상품문의,21.2,Y,N
CNS00072,CUST0114,2024-06-09,전화,AGT012,상품문의,5.4,N,N
CNS00073,CUST0211,2024-09-24,앱,AGT007,상품문의,7.5,Y,N
CNS00074,CUST0320,2024-03-14,앱,AGT029,상품문의,7.9,Y,N
CNS00075,CUST0102,2024-10-19,앱,AGT014,요금문의,2.4,Y,N
CNS00076,CUST0442,2024-11-07,홈페이지,AGT016,상품문의,20.1,Y,N
CNS00077,CUST0248,2024-10-02,매장,AGT004,요금문의,8.2,Y,N
CNS00078,CUST0321,2024-11-15,전화,AGT022,서비스불만,10.6,Y,N
CNS00079,CUST0486,2024-03-14,홈페이지,AGT003,요금문의,4.1,Y,N
CNS00080,CUST0185,2024-10-07,매장,AGT008,상품문의,15.0,Y,N
CNS00081,CUST0076,2024-01-28,매장,AGT009,서비스불만,4.1,Y,N
CNS00082,CUST0396,2024-01-27,전화,AGT009,결제오류,13.8,Y,N
CNS00083,CUST0089,2024-09-20,전화,AGT018,요금문의,5.5,Y,N
CNS00084,CUST0120,2024-08-22,전화,AGT004,상품문의,12.2,Y,N
CNS00085,CUST0496,2024-01-06,전화,AGT012,요금문의,8.7,Y,N
CNS00086,CUST0402,2024-07-22,전화,AGT007,요금문의,13.8,Y,N
CNS00087,CUST0034,2024-11-25,전화,AGT019,상품문의,8.0,Y,N
CNS00088,CUST0352,2024-07-26,앱,AGT012,상품문의,17.3,Y,N
CNS00089,CUST0468,2024-02-06,전화,AGT025,기타,6.1,Y,N
CNS00090,CUST0212,2024-05-14,앱,AGT012,상품문의,6.6,Y,N
CNS00091,CUST0403,2024-06-10,홈페이지,AGT009,서비스불만,11.6,Y,N
CNS00092,CUST0297,2024-03-30,매장,AGT015,결제오류,5.8,N,N
CNS00093,CUST0398,2024-03-29,전화,AGT004,결제오류,12.7,N,N
CNS00094,CUST0325,2024-07-18,전화,AGT007,서비스불만,4.5,N,Y
CNS00095,CUST0465,2024-01-07,홈페이지,AGT027,요금문의,8.5,Y,N
CNS00096,CUST0185,2024-08-06,전화,AGT002,요금문의,7.2,Y,N
CNS00097,CUST0097,2024-04-22,홈페이지,AGT026,결제오류,5.3,Y,N
CNS00098,CUST0439,2024-09-19,앱,AGT004,요금문의,15.4,Y,N
CNS00099,CUST0018,2024-12-22,매장,AGT014,상품문의,7.6,Y,N
CNS00100,CUST0117,2024-11-30,전화,AGT001,요금문의,8.4,Y,N
CNS00101,CUST0189,2024-02-29,홈페이지,AGT029,서비스불만,10.4,Y,N
CNS00102,CUST0424,2024-01-27,전화,AGT022,요금문의,11.2,Y,N
CNS00103,CUST0325,2024-10-31,홈페이지,AGT007,서비스불만,3.1,Y,N
CNS00104,CUST0428,2024-11-30,전화,AGT020,기타,10.8,Y,N
CNS00105,CUST0433,2024-09-03,전화,AGT004,요금문의,5.2,Y,N
CNS00106,CUST0489,2024-06-09,매장,AGT019,상품문의,6.4,Y,N
CNS00107,CUST0252,2024-02-05,앱,AGT001,서비스불만,9.5,Y,N
CNS00108,CUST0305,2024-04-02,앱,AGT018,결제오류,3.6,Y,N
CNS00109,CUST0315,2024-11-01,홈페이지,AGT022,요금문의,15.9,Y,N
CNS00110,CUST0493,2024-05-01,매장,AGT010,결제오류,4.8,Y,N
CNS00111,CUST0307,2024-04-23,전화,AGT009,상품문의,12.3,Y,N
CNS00112,CUST0307,2024-07-14,앱,AGT015,서비스불만,5.0,N,N
CNS00113,CUST0093,2024-08-06,홈페이지,AGT013,서비스불만,8.6,Y,N
CNS00114,CUST0077,2024-12-04,전화,AGT026,서비스불만,13.1,Y,N
CNS00115,CUST0422,2024-02-01,전화,AGT023,요금문의,5.7,N,N
CNS00116,CUST0192,2024-07-12,앱,AGT028,서비스불만,5.1,Y,N
CNS00117,CUST0341,2024-04-23,홈페이지,AGT001,서비스불만,9.4,Y,N
CNS00118,CUST0318,2024-05-01,앱,AGT010,결제오류,12.6,N,N
CNS00119,CUST0496,2024-09-23,홈페이지,AGT028,서비스불만,9.0,Y,N
CNS00120,CUST0189,2024-05-10,전화,AGT016,상품문의,9.2,Y,N
CNS00121,CUST0122,2024-07-22,홈페이지,AGT009,요금문의,12.7,Y,N
CNS00122,CUST0473,2024-01-05,전화,AGT019,기타,4.7,Y,N
CNS00123,CUST0442,2024-08-12,앱,AGT008,서비스불만,3.2,Y,N
CNS00124,CUST0492,2024-04-01,앱,AGT009,결제오류,12.2,Y,N
CNS00125,CUST0038,2024-05-28,매장,AGT001,상품문의,13.8,Y,N
CNS00126,CUST0269,2024-07-29,전화,AGT004,요금문의,13.6,Y,N
CNS00127,CUST0050,2024-04-07,전화,AGT015,상품문의,5.4,Y,N
CNS00128,CUST0203,2024-06-18,전화,AGT003,요금문의,6.4,Y,N
CNS00129,CUST0210,2024-06-30,매장,AGT009,기타,3.2,N,N
CNS00130,CUST0486,2024-07-25,앱,AGT029,요금문의,11.6,Y,N
CNS00131,CUST0049,2024-02-04,앱,AGT002,결제오류,5.0,Y,N
CNS00132,CUST0281,2024-10-27,앱,AGT024,결제오류,11.9,Y,N
CNS00133,CUST0033,2024-07-14,앱,AGT015,요금문의,8.2,Y,N
CNS00134,CUST0381,2024-12-29,앱,AGT005,요금문의,3.5,Y,N
CNS00135,CUST0481,2024-12-06,전화,AGT011,기타,11.6,Y,N
CNS00136,CUST0422,2024-10-03,전화,AGT014,상품문의,5.3,Y,N
CNS00137,CUST0201,2024-10-16,전화,AGT008,요금문의,3.5,Y,N
CNS00138,CUST0334,2024-12-22,앱,AGT021,요금문의,2.7,Y,N
CNS00139,CUST0236,2024-12-02,앱,AGT024,요금문의,11.8,Y,Y
CNS00140,CUST0050,2024-04-09,전화,AGT015,결제오류,15.4,Y,N
CNS00141,CUST0173,2024-01-23,매장,AGT009,상품문의,3.9,N,N
CNS00142,CUST0061,2024-06-14,홈페이지,AGT013,상품문의,4.0,Y,N
CNS00143,CUST0011,2024-06-03,전화,AGT027,요금문의,6.1,N,N
CNS00144,CUST0402,2024-08-30,전화,AGT023,요금문의,9.1,Y,N
CNS00145,CUST0403,2024-01-24,매장,AGT003,서비스불만,7.2,Y,N
CNS00146,CUST0489,2024-10-05,홈페이지,AGT011,상품문의,19.3,N,N
CNS00147,CUST0168,2024-05-26,홈페이지,AGT020,상품문의,7.1,Y,N
CNS00148,CUST0053,2024-04-14,매장,AGT024,요금문의,6.8,Y,N
CNS00149,CUST0152,2024-06-04,전화,AGT002,서비스불만,3.5,Y,N
CNS00150,CUST0117,2024-12-18,앱,AGT016,상품문의,22.3,Y,N
CNS00151,CUST0053,2024-10-07,전화,AGT022,결제오류,8.0,Y,N
CNS00152,CUST0069,2024-07-05,전화,AGT008,서비스불만,5.7,Y,N
CNS00153,CUST0269,2024-07-08,전화,AGT008,서비스불만,8.1,Y,N
CNS00154,CUST0262,2024-12-17,매장,AGT008,상품문의,19.3,Y,N
CNS00155,CUST0144,2024-10-05,홈페이지,AGT008,기타,17.7,N,N
CNS00156,CUST0410,2024-04-21,앱,AGT016,상품문의,3.7,Y,N
CNS00157,CUST0415,2024-03-07,앱,AGT005,서비스불만,3.7,Y,N
CNS00158,CUST0182,2024-11-21,홈페이지,AGT029,기타,13.4,Y,N
CNS00159,CUST0154,2024-01-30,전화,AGT004,요금문의,19.0,Y,N
CNS00160,CUST0299,2024-06-25,전화,AGT022,서비스불만,15.2,Y,N
CNS00161,CUST0476,2024-09-26,홈페이지,AGT002,요금문의,24.9,Y,N
CNS00162,CUST0426,2024-07-05,홈페이지,AGT010,기타,12.4,Y,N
CNS00163,CUST0152,2024-12-13,매장,AGT016,서비스불만,8.4,Y,N
CNS00164,CUST0023,2024-12-15,매장,AGT008,요금문의,3.2,Y,N
CNS00165,CUST0069,2024-01-16,전화,AGT004,서비스불만,7.3,Y,N
CNS00166,CUST0238,2024-02-12,전화,AGT013,요금문의,3.5,Y,N
CNS00167,CUST0366,2024-09-08,전화,AGT020,서비스불만,21.0,Y,N
CNS00168,CUST0059,2024-12-28,전화,AGT014,요금문의,12.7,Y,N
CNS00169,CUST0216,2024-09-16,전화,AGT015,요금문의,6.6,Y,N
CNS00170,CUST0075,2024-12-29,홈페이지,AGT003,요금문의,5.7,Y,N
CNS00171,CUST0365,2024-05-30,매장,AGT023,서비스불만,13.1,Y,N
CNS00172,CUST0059,2024-03-07,전화,AGT025,서비스불만,16.8,Y,N
CNS00173,CUST0223,2024-02-24,전화,AGT028,결제오류,4.8,Y,N
CNS00174,CUST0305,2024-01-24,매장,AGT012,상품문의,3.0,Y,N
CNS00175,CUST0396,2024-02-04,매장,AGT001,결제오류,5.9,Y,Y
CNS00176,CUST0083,2024-06-30,전화,AGT022,서비스불만,9.0,Y,N
CNS00177,CUST0154,2024-07-03,매장,AGT005,서비스불만,12.6,Y,N
CNS00178,CUST0146,2024-07-06,앱,AGT020,요금문의,6.9,N,N
CNS00179,CUST0192,2024-04-05,앱,AGT019,서비스불만,27.4,Y,N
CNS00180,CUST0165,2024-03-14,매장,AGT019,요금문의,4.2,Y,N
CNS00181,CUST0499,2024-05-22,앱,AGT029,요금문의,9.1,Y,N
CNS00182,CUST0255,2024-01-11,전화,AGT004,요금문의,8.6,Y,N
CNS00183,CUST0185,2024-01-26,앱,AGT003,요금문의,10.1,Y,N
CNS00184,CUST0344,2024-10-03,앱,AGT005,상품문의,11.5,Y,N
CNS00185,CUST0325,2024-12-12,앱,AGT022,서비스불만,9.0,Y,N
CNS00186,CUST0235,2024-05-09,앱,AGT028,요금문의,2.8,Y,N
CNS00187,CUST0325,2024-07-14,앱,AGT004,서비스불만,7.3,Y,N
CNS00188,CUST0498,2024-01-24,전화,AGT030,요금문의,10.0,Y,N
CNS00189,CUST0113,2024-02-05,전화,AGT015,결제오류,11.3,Y,N
CNS00190,CUST0473,2024-06-19,전화,AGT003,요금문의,24.4,Y,N
CNS00191,CUST0027,2024-05-03,홈페이지,AGT014,상품문의,19.0,Y,N
CNS00192,CUST0386,2024-06-30,전화,AGT010,결제오류,14.9,Y,N
CNS00193,CUST0309,2024-11-16,앱,AGT027,서비스불만,8.0,Y,N
CNS00194,CUST0452,2024-02-11,전화,AGT011,결제오류,12.2,Y,N
CNS00195,CUST0106,2024-01-23,앱,AGT004,결제오류,3.3,Y,N
CNS00196,CUST0442,2024-08-28,홈페이지,AGT029,요금문의,19.2,Y,N
CNS00197,CUST0185,2024-04-16,전화,AGT027,결제오류,8.1,Y,N
CNS00198,CUST0179,2024-09-07,앱,AGT022,요금문의,13.7,Y,N
CNS00199,CUST0258,2024-03-03,전화,AGT003,기타,10.8,Y,N
CNS00200,CUST0109,2024-06-29,앱,AGT022,서비스불만,4.5,Y,N
CNS00201,CUST0398,2024-09-13,홈페이지,AGT014,결제오류,9.0,Y,N
CNS00202,CUST0159,2024-02-14,앱,AGT030,서비스불만,5.2,Y,N
CNS00203,CUST0248,2024-09-27,앱,AGT018,기타,18.5,Y,N
CNS00204,CUST0477,2024-08-27,앱,AGT026,요금문의,4.1,Y,Y
CNS00205,CUST0069,2024-04-21,매장,AGT008,결제오류,11.5,N,N
CNS00206,CUST0080,2024-04-07,홈페이지,AGT009,서비스불만,11.9,Y,N
CNS00207,CUST0390,2024-03-09,매장,AGT028,요금문의,11.9,Y,N
CNS00208,CUST0270,2024-07-24,매장,AGT007,서비스불만,8.9,Y,N
CNS00209,CUST0195,2024-08-13,매장,AGT027,요금문의,5.4,N,N
CNS00210,CUST0413,2024-06-09,전화,AGT016,상품문의,4.8,Y,N
CNS00211,CUST0299,2024-04-21,전화,AGT021,서비스불만,5.9,Y,Y
CNS00212,CUST0119,2024-12-22,홈페이지,AGT020,서비스불만,12.7,Y,N
CNS00213,CUST0363,2024-08-22,앱,AGT029,서비스불만,13.2,Y,N
CNS00214,CUST0306,2024-10-10,앱,AGT017,요금문의,16.6,Y,N
CNS00215,CUST0038,2024-03-22,앱,AGT003,서비스불만,5.7,Y,N
CNS00216,CUST0117,2024-09-23,앱,AGT008,상품문의,6.9,Y,N
CNS00217,CUST0452,2024-03-09,전화,AGT014,서비스불만,19.0,N,N
CNS00218,CUST0464,2024-07-07,매장,AGT005,요금문의,9.3,Y,N
CNS00219,CUST0415,2024-02-11,전화,AGT028,결제오류,7.3,Y,Y
CNS00220,CUST0092,2024-06-03,전화,AGT014,서비스불만,17.8,Y,Y
CNS00221,CUST0473,2024-01-06,전화,AGT015,서비스불만,28.5,N,N
CNS00222,CUST0403,2024-10-09,전화,AGT020,상품문의,15.9,Y,N
CNS00223,CUST0259,2024-11-23,홈페이지,AGT015,결제오류,9.0,Y,N
CNS00224,CUST0484,2024-07-07,홈페이지,AGT017,상품문의,13.3,N,N
CNS00225,CUST0045,2024-06-13,전화,AGT013,요금문의,8.1,Y,N
CNS00226,CUST0484,2024-06-08,매장,AGT001,서비스불만,9.7,Y,N
CNS00227,CUST0218,2024-08-20,매장,AGT002,서비스불만,25.8,Y,N
CNS00228,CUST0464,2024-10-04,앱,AGT030,상품문의,11.1,Y,N
CNS00229,CUST0036,2024-08-09,매장,AGT023,서비스불만,31.4,Y,N
CNS00230,CUST0374,2024-08-03,앱,AGT015,결제오류,8.1,Y,N
CNS00231,CUST0085,2024-10-14,전화,AGT004,서비스불만,6.5,Y,N
CNS00232,CUST0100,2024-05-25,홈페이지,AGT027,서비스불만,15.4,Y,N
CNS00233,CUST0132,2024-08-28,전화,AGT013,상품문의,11.9,Y,N
CNS00234,CUST0033,2024-12-05,앱,AGT017,상품문의,9.1,N,N
CNS00235,CUST0440,2024-10-04,전화,AGT006,결제오류,6.7,Y,N
CNS00236,CUST0498,2024-05-16,매장,AGT024,요금문의,4.8,Y,N
CNS00237,CUST0157,2024-10-06,앱,AGT015,요금문의,13.9,Y,N
CNS00238,CUST0439,2024-05-21,전화,AGT025,상품문의,22.9,Y,N
CNS00239,CUST0425,2024-09-20,매장,AGT028,요금문의,6.3,Y,N
CNS00240,CUST0325,2024-11-24,홈페이지,AGT014,요금문의,4.7,Y,N
CNS00241,CUST0089,2024-11-10,앱,AGT018,서비스불만,7.9,Y,N
CNS00242,CUST0157,2024-09-03,전화,AGT027,서비스불만,5.4,Y,N
CNS00243,CUST0283,2024-10-19,매장,AGT005,서비스불만,10.5,Y,N
CNS00244,CUST0121,2024-01-27,전화,AGT026,서비스불만,4.3,Y,N
CNS00245,CUST0491,2024-06-30,앱,AGT014,서비스불만,8.3,Y,N
CNS00246,CUST0477,2024-09-02,전화,AGT023,서비스불만,12.2,Y,N
CNS00247,CUST0424,2024-07-08,전화,AGT026,서비스불만,26.3,Y,N
CNS00248,CUST0449,2024-08-25,매장,AGT007,요금문의,6.8,Y,N
CNS00249,CUST0353,2024-01-01,전화,AGT024,결제오류,12.6,Y,N
CNS00250,CUST0076,2024-04-24,매장,AGT004,결제오류,7.3,Y,N
CNS00251,CUST0479,2024-05-24,앱,AGT002,서비스불만,6.4,Y,N
CNS00252,CUST0444,2024-06-05,홈페이지,AGT017,요금문의,9.9,Y,N
CNS00253,CUST0261,2024-12-22,전화,AGT021,상품문의,7.6,N,N
CNS00254,CUST0416,2024-06-12,전화,AGT021,요금문의,19.6,Y,N
CNS00255,CUST0409,2024-11-18,전화,AGT005,상품문의,10.7,Y,N
CNS00256,CUST0118,2024-09-26,앱,AGT002,요금문의,7.2,Y,N
CNS00257,CUST0499,2024-07-06,앱,AGT012,요금문의,14.4,Y,N
CNS00258,CUST0483,2024-05-06,홈페이지,AGT018,요금문의,6.4,Y,N
CNS00259,CUST0218,2024-11-23,전화,AGT017,요금문의,10.2,Y,N
CNS00260,CUST0461,2024-02-23,앱,AGT019,서비스불만,18.9,Y,N
CNS00261,CUST0357,2024-07-24,앱,AGT013,서비스불만,17.4,Y,N
CNS00262,CUST0182,2024-02-25,앱,AGT003,요금문의,14.9,Y,N
CNS00263,CUST0170,2024-12-02,홈페이지,AGT029,기타,7.9,Y,N
CNS00264,CUST0017,2024-12-14,전화,AGT025,기타,18.2,Y,N
CNS00265,CUST0177,2024-12-06,전화,AGT017,상품문의,6.0,Y,N
CNS00266,CUST0049,2024-03-14,앱,AGT008,결제오류,7.0,Y,N
CNS00267,CUST0182,2024-08-06,앱,AGT025,요금문의,3.8,N,N
CNS00268,CUST0126,2024-02-16,매장,AGT012,결제오류,6.6,Y,N
CNS00269,CUST0121,2024-03-22,앱,AGT026,결제오류,23.3,Y,N
CNS00270,CUST0319,2024-12-07,앱,AGT002,결제오류,5.3,Y,N
CNS00271,CUST0202,2024-12-05,매장,AGT009,상품문의,16.8,Y,N
CNS00272,CUST0439,2024-10-26,앱,AGT006,요금문의,10.0,Y,N
CNS00273,CUST0485,2024-05-18,전화,AGT013,요금문의,6.9,Y,Y
CNS00274,CUST0109,2024-09-16,앱,AGT009,요금문의,7.3,Y,N
CNS00275,CUST0109,2024-01-08,홈페이지,AGT020,기타,9.4,Y,N
CNS00276,CUST0238,2024-01-03,전화,AGT020,결제오류,12.3,Y,N
CNS00277,CUST0061,2024-08-26,앱,AGT016,서비스불만,7.4,Y,N
CNS00278,CUST0491,2024-09-11,전화,AGT002,기타,19.7,Y,N
CNS00279,CUST0018,2024-09-28,전화,AGT013,요금문의,5.2,Y,N
CNS00280,CUST0403,2024-05-06,앱,AGT008,서비스불만,10.1,Y,N
CNS00281,CUST0229,2024-05-18,전화,AGT023,서비스불만,11.3,Y,N
CNS00282,CUST0200,2024-01-16,전화,AGT015,상품문의,12.1,Y,N
CNS00283,CUST0028,2024-09-09,홈페이지,AGT004,요금문의,20.2,Y,N
CNS00284,CUST0375,2024-11-30,홈페이지,AGT023,요금문의,10.5,Y,N
CNS00285,CUST0473,2024-10-31,앱,AGT028,상품문의,9.4,Y,N
CNS00286,CUST0122,2024-07-08,앱,AGT030,서비스불만,7.1,Y,N
CNS00287,CUST0027,2024-11-15,전화,AGT005,요금문의,7.1,Y,N
CNS00288,CUST0398,2024-01-17,전화,AGT007,서비스불만,6.1,Y,N
CNS00289,CUST0356,2024-06-13,전화,AGT019,서비스불만,6.5,Y,N
CNS00290,CUST0083,2024-08-02,앱,AGT002,결제오류,12.5,Y,N
CNS00291,CUST0094,2024-11-02,앱,AGT014,결제오류,15.1,Y,N
CNS00292,CUST0398,2024-07-25,전화,AGT013,요금문의,8.9,N,N
CNS00293,CUST0173,2024-07-17,앱,AGT012,상품문의,14.6,Y,N
CNS00294,CUST0139,2024-02-01,앱,AGT016,결제오류,7.7,Y,N
CNS00295,CUST0035,2024-03-19,전화,AGT008,결제오류,29.2,Y,N
CNS00296,CUST0357,2024-05-24,앱,AGT022,요금문의,5.6,Y,N
CNS00297,CUST0403,2024-11-19,전화,AGT023,서비스불만,10.0,N,N
CNS00298,CUST0325,2024-07-13,앱,AGT027,요금문의,3.2,Y,N
CNS00299,CUST0219,2024-10-16,앱,AGT029,요금문의,3.4,Y,N
CNS00300,CUST0316,2024-11-27,앱,AGT001,요금문의,14.7,N,N
CNS00301,CUST0090,2024-08-27,전화,AGT009,요금문의,6.4,Y,N
CNS00302,CUST0120,2024-08-25,홈페이지,AGT013,기타,4.4,N,N
CNS00303,CUST0121,2024-10-27,앱,AGT027,서비스불만,17.2,Y,N
CNS00304,CUST0360,2024-02-05,앱,AGT025,상품문의,12.6,Y,N
CNS00305,CUST0157,2024-08-12,홈페이지,AGT003,기타,2.6,Y,N
CNS00306,CUST0424,2024-12-12,앱,AGT005,요금문의,21.6,N,N
CNS00307,CUST0058,2024-01-16,매장,AGT005,요금문의,9.8,Y,Y
CNS00308,CUST0007,2024-10-09,전화,AGT006,요금문의,18.5,Y,N
CNS00309,CUST0212,2024-10-07,매장,AGT024,기타,15.1,Y,N
CNS00310,CUST0467,2024-12-08,홈페이지,AGT017,상품문의,8.4,Y,Y
CNS00311,CUST0040,2024-10-13,매장,AGT008,서비스불만,3.5,Y,N
CNS00312,CUST0053,2024-07-17,전화,AGT009,상품문의,11.5,Y,N
CNS00313,CUST0367,2024-11-02,전화,AGT024,상품문의,5.1,Y,N
CNS00314,CUST0416,2024-07-13,전화,AGT007,요금문의,4.6,Y,N
CNS00315,CUST0143,2024-07-01,전화,AGT002,서비스불만,17.7,Y,N
CNS00316,CUST0188,2024-05-31,앱,AGT028,요금문의,7.9,N,N
CNS00317,CUST0473,2024-07-14,홈페이지,AGT015,요금문의,7.8,Y,N
CNS00318,CUST0022,2024-07-18,매장,AGT028,요금문의,6.5,Y,N
CNS00319,CUST0481,2024-10-22,홈페이지,AGT007,기타,4.9,N,N
CNS00320,CUST0154,2024-04-20,앱,AGT001,결제오류,6.1,Y,N
CNS00321,CUST0325,2024-12-24,앱,AGT022,기타,8.2,N,N
CNS00322,CUST0362,2024-08-02,전화,AGT009,서비스불만,10.3,Y,N
CNS00323,CUST0002,2024-10-14,전화,AGT014,요금문의,4.8,Y,N
CNS00324,CUST0283,2024-04-08,매장,AGT028,요금문의,4.9,Y,N
CNS00325,CUST0350,2024-07-13,전화,AGT017,서비스불만,13.0,Y,N
CNS00326,CUST0009,2024-09-30,전화,AGT021,상품문의,6.2,Y,N
CNS00327,CUST0297,2024-01-18,전화,AGT019,서비스불만,4.1,Y,N
CNS00328,CUST0069,2024-04-05,전화,AGT007,요금문의,5.2,Y,N
CNS00329,CUST0061,2024-10-05,앱,AGT020,결제오류,15.5,Y,N
CNS00330,CUST0473,2024-09-08,앱,AGT016,상품문의,11.5,Y,N
CNS00331,CUST0212,2024-07-24,매장,AGT023,기타,9.7,Y,N
CNS00332,CUST0157,2024-12-25,전화,AGT008,요금문의,20.3,Y,N
CNS00333,CUST0117,2024-08-08,전화,AGT008,요금문의,11.7,Y,N
CNS00334,CUST0087,2024-06-27,앱,AGT011,상품문의,7.4,Y,N
CNS00335,CUST0028,2024-02-16,앱,AGT017,기타,4.6,Y,N
