날짜,캠페인,광고그룹,키워드,디바이스,연령대,성별,시간대,소재유형,노출수,클릭수,광고비,CTR,CPC,평균노출순위
2026-05-04,25년_다이렉트_검색_1차,특약보험료,다이렉트자동차보험,모바일,40대,남,12시,이미지,2582,52,46228,2.01,889,2.3
2026-05-04,25년_다이렉트_검색_1차,특약보험료,자동차보험견적,PC,20대,남,17시,텍스트,4860,96,145632,1.98,1517,3.4
2026-05-04,25년_다이렉트_검색_1차,특약보험료,자동차보험견적,모바일,20대,여,08시,텍스트,11838,479,731912,4.05,1528,3.9
2026-05-04,26년_다이렉트_브랜드검색,브랜드,다이렉트자동차보험,PC,40대,여,06시,텍스트,6378,273,462735,4.28,1695,3.3
2026-05-04,26년_다이렉트_브랜드검색,특약보험료,다이렉트자동차보험,모바일,40대,여,10시,확장소재,8151,350,688450,4.29,1967,3.8
2026-05-04,26년_신년_검색프로모션,신규가입,자동차보험견적,PC,50대이상,여,14시,이미지,7301,320,560960,4.38,1753,3.2
2026-05-04,26년_신년_검색프로모션,일반보험료,온라인자동차보험,PC,20대,남,18시,확장소재,5573,96,282528,1.72,2943,2.3
2026-05-04,26년_신년_검색프로모션,일반보험료,온라인자동차보험,모바일,20대,남,12시,텍스트,18424,497,1115765,2.7,2245,4.5
2026-05-04,26년_신년_검색프로모션,일반보험료,자동차보험,모바일,40대,남,22시,텍스트,9935,289,717587,2.91,2483,1.6
2026-05-05,25년_다이렉트_검색_1차,신규가입,자동차보험료비교,PC,20대,남,06시,이미지,14050,190,313880,1.35,1652,3.7
2026-05-05,25년_다이렉트_검색_1차,일반보험료,온라인자동차보험,모바일,30대,남,22시,이미지,13956,236,779744,1.69,3304,1.6
2026-05-05,25년_다이렉트_검색_1차,일반보험료,자동차보험료비교,PC,20대,남,10시,텍스트,884,7,9219,0.79,1317,3.5
2026-05-05,25년_다이렉트_검색_2차,특약보험료,자동차보험견적,PC,40대,여,10시,확장소재,2605,22,66440,0.84,3020,1.3
2026-05-05,25년_다이렉트_검색_2차,특약보험료,자동차보험료비교,PC,20대,남,06시,이미지,17139,505,1385720,2.95,2744,2.6
2026-05-05,26년_다이렉트_브랜드검색,브랜드,자동차보험견적,모바일,20대,여,08시,텍스트,15337,141,285384,0.92,2024,2.2
2026-05-05,26년_다이렉트_브랜드검색,특약보험료,온라인자동차보험,모바일,30대,여,10시,텍스트,1167,23,44735,1.97,1945,1.8
2026-05-05,26년_신년_검색프로모션,특약보험료,자동차보험료비교,모바일,50대이상,남,16시,이미지,16261,230,540270,1.41,2349,2.2
2026-05-06,25년_다이렉트_검색_1차,신규가입,온라인자동차보험,모바일,20대,여,11시,확장소재,15534,269,492270,1.73,1830,3.5
2026-05-06,25년_다이렉트_검색_2차,신규가입,온라인자동차보험,모바일,30대,여,23시,이미지,19698,178,365256,0.9,2052,3.2
2026-05-06,25년_다이렉트_검색_2차,특약보험료,다이렉트자동차보험,PC,40대,남,10시,텍스트,10709,223,215195,2.08,965,2.7
2026-05-06,26년_다이렉트_브랜드검색,신규가입,다이렉트자동차보험,모바일,50대이상,남,19시,이미지,14068,156,419640,1.11,2690,1.8
2026-05-06,26년_다이렉트_브랜드검색,일반보험료,자동차보험,모바일,30대,남,16시,확장소재,19477,248,633144,1.27,2553,3.5
2026-05-06,26년_다이렉트_브랜드검색,일반보험료,자동차보험료비교,PC,40대,여,16시,확장소재,19716,346,300328,1.75,868,4.4
2026-05-06,26년_다이렉트_브랜드검색,특약보험료,다이렉트자동차보험,PC,40대,여,13시,텍스트,8061,299,883844,3.71,2956,2.8
2026-05-06,26년_신년_검색프로모션,브랜드,온라인자동차보험,모바일,50대이상,남,08시,확장소재,7850,232,648208,2.96,2794,1.7
2026-05-06,26년_신년_검색프로모션,브랜드,자동차보험,모바일,30대,여,10시,이미지,14989,396,489852,2.64,1237,3.7
2026-05-06,26년_신년_검색프로모션,신규가입,다이렉트자동차보험,모바일,30대,여,22시,텍스트,8652,305,876875,3.53,2875,1.3
2026-05-06,26년_신년_검색프로모션,특약보험료,자동차보험견적,모바일,30대,남,10시,텍스트,10661,322,588616,3.02,1828,2.3
2026-05-07,25년_다이렉트_검색_1차,브랜드,다이렉트자동차보험,PC,30대,남,16시,텍스트,14731,448,859264,3.04,1918,4.3
2026-05-07,25년_다이렉트_검색_2차,브랜드,자동차보험,PC,40대,남,14시,텍스트,17144,177,534363,1.03,3019,1.9
2026-05-07,25년_다이렉트_검색_2차,일반보험료,온라인자동차보험,모바일,30대,남,10시,텍스트,19444,688,1826640,3.54,2655,3.8
2026-05-07,25년_다이렉트_검색_2차,특약보험료,온라인자동차보험,PC,40대,여,06시,텍스트,1346,37,83546,2.75,2258,4.0
2026-05-07,26년_다이렉트_브랜드검색,브랜드,자동차보험견적,모바일,40대,남,06시,이미지,6733,245,581385,3.64,2373,3.1
2026-05-07,26년_다이렉트_브랜드검색,특약보험료,자동차보험,모바일,30대,여,11시,확장소재,16889,383,978565,2.27,2555,4.2
2026-05-07,26년_신년_검색프로모션,브랜드,자동차보험견적,PC,30대,남,06시,텍스트,15874,643,1358016,4.05,2112,3.0
2026-05-07,26년_신년_검색프로모션,브랜드,자동차보험료비교,PC,40대,남,11시,이미지,19596,414,539028,2.11,1302,3.0
2026-05-07,26년_신년_검색프로모션,브랜드,자동차보험료비교,모바일,20대,여,06시,확장소재,8077,335,469000,4.15,1400,4.1
2026-05-07,26년_신년_검색프로모션,신규가입,자동차보험료비교,PC,40대,남,13시,텍스트,12113,180,575460,1.49,3197,1.8
2026-05-07,26년_신년_검색프로모션,특약보험료,자동차보험견적,PC,20대,남,11시,이미지,19623,625,1600625,3.19,2561,2.0
2026-05-08,25년_다이렉트_검색_1차,브랜드,온라인자동차보험,모바일,20대,여,10시,확장소재,11973,366,892674,3.06,2439,4.1
2026-05-08,25년_다이렉트_검색_1차,신규가입,자동차보험견적,모바일,40대,남,14시,이미지,15255,192,509568,1.26,2654,2.2
2026-05-08,25년_다이렉트_검색_2차,특약보험료,온라인자동차보험,모바일,40대,남,13시,텍스트,6088,164,270272,2.69,1648,4.4
2026-05-08,25년_다이렉트_검색_2차,특약보험료,자동차보험료비교,모바일,40대,남,19시,텍스트,12141,128,108800,1.05,850,3.6
2026-05-08,25년_다이렉트_검색_2차,특약보험료,자동차보험료비교,모바일,40대,여,06시,텍스트,5990,148,146964,2.47,993,3.0
2026-05-08,26년_다이렉트_브랜드검색,신규가입,자동차보험료비교,PC,40대,여,09시,이미지,3728,104,300976,2.79,2894,2.5
2026-05-08,26년_다이렉트_브랜드검색,특약보험료,다이렉트자동차보험,모바일,40대,여,22시,확장소재,13724,167,516197,1.22,3091,3.0
2026-05-08,26년_신년_검색프로모션,브랜드,자동차보험,PC,20대,남,16시,이미지,13990,240,197760,1.72,824,2.8
2026-05-08,26년_신년_검색프로모션,신규가입,다이렉트자동차보험,PC,30대,남,17시,이미지,6279,92,245180,1.47,2665,2.3
2026-05-08,26년_신년_검색프로모션,신규가입,온라인자동차보험,PC,50대이상,여,12시,텍스트,13587,245,661745,1.8,2701,2.9
2026-05-08,26년_신년_검색프로모션,일반보험료,자동차보험,PC,20대,남,21시,확장소재,9681,346,605846,3.57,1751,4.2
2026-05-08,26년_신년_검색프로모션,일반보험료,자동차보험견적,모바일,40대,남,09시,텍스트,5873,91,241787,1.55,2657,3.7
2026-05-09,25년_다이렉트_검색_1차,신규가입,자동차보험견적,모바일,40대,남,06시,확장소재,14795,225,582750,1.52,2590,1.3
2026-05-09,25년_다이렉트_검색_1차,일반보험료,다이렉트자동차보험,모바일,20대,남,19시,이미지,16146,651,629517,4.03,967,2.0
2026-05-09,25년_다이렉트_검색_1차,일반보험료,자동차보험견적,PC,30대,여,14시,이미지,5341,205,308730,3.84,1506,3.1
2026-05-09,25년_다이렉트_검색_1차,특약보험료,다이렉트자동차보험,PC,20대,남,07시,확장소재,8928,204,526524,2.28,2581,3.3
2026-05-09,25년_다이렉트_검색_1차,특약보험료,온라인자동차보험,모바일,40대,남,15시,이미지,5975,157,452317,2.63,2881,3.0
2026-05-09,25년_다이렉트_검색_1차,특약보험료,자동차보험,모바일,30대,남,22시,이미지,11593,427,594384,3.68,1392,4.1
2026-05-09,26년_다이렉트_브랜드검색,브랜드,온라인자동차보험,모바일,20대,여,19시,확장소재,2643,117,246987,4.43,2111,4.0
2026-05-09,26년_신년_검색프로모션,신규가입,온라인자동차보험,PC,20대,여,23시,이미지,6650,209,626582,3.14,2998,4.0
2026-05-10,25년_다이렉트_검색_1차,신규가입,자동차보험견적,PC,20대,여,08시,확장소재,14237,575,638250,4.04,1110,2.7
2026-05-10,25년_다이렉트_검색_1차,신규가입,자동차보험료비교,모바일,30대,남,18시,이미지,2921,92,186116,3.15,2023,2.0
2026-05-10,25년_다이렉트_검색_1차,일반보험료,온라인자동차보험,PC,50대이상,남,11시,이미지,9630,290,238960,3.01,824,2.0
2026-05-10,25년_다이렉트_검색_2차,브랜드,자동차보험견적,PC,30대,남,18시,이미지,3483,84,97692,2.41,1163,3.1
2026-05-10,25년_다이렉트_검색_2차,브랜드,자동차보험료비교,모바일,50대이상,여,22시,확장소재,19750,224,491456,1.13,2194,2.0
2026-05-10,26년_다이렉트_브랜드검색,신규가입,온라인자동차보험,PC,30대,여,13시,확장소재,16814,705,1297200,4.19,1840,4.3
2026-05-10,26년_신년_검색프로모션,브랜드,온라인자동차보험,모바일,40대,남,15시,이미지,12816,466,594616,3.64,1276,1.3
2026-05-10,26년_신년_검색프로모션,브랜드,자동차보험,PC,30대,여,20시,확장소재,18217,466,1617020,2.56,3470,4.3
2026-05-10,26년_신년_검색프로모션,특약보험료,자동차보험,PC,30대,남,08시,텍스트,7237,257,827283,3.55,3219,4.0
2026-05-10,26년_신년_검색프로모션,특약보험료,자동차보험견적,PC,20대,남,13시,텍스트,12612,332,386448,2.63,1164,1.7
2026-05-10,26년_신년_검색프로모션,특약보험료,자동차보험견적,모바일,40대,남,21시,이미지,5306,238,622846,4.49,2617,3.1
2026-05-11,25년_다이렉트_검색_1차,일반보험료,자동차보험,PC,20대,남,07시,확장소재,11374,145,292610,1.27,2018,4.4
2026-05-11,25년_다이렉트_검색_2차,일반보험료,온라인자동차보험,모바일,20대,남,22시,이미지,4472,43,73659,0.96,1713,1.5
2026-05-11,25년_다이렉트_검색_2차,일반보험료,자동차보험,모바일,20대,남,22시,텍스트,17708,286,958958,1.62,3353,3.8
2026-05-11,26년_다이렉트_브랜드검색,신규가입,온라인자동차보험,PC,20대,남,18시,이미지,8702,360,1106280,4.14,3073,1.8
2026-05-11,26년_다이렉트_브랜드검색,신규가입,자동차보험견적,PC,20대,남,11시,확장소재,17201,514,1103044,2.99,2146,2.3
2026-05-11,26년_다이렉트_브랜드검색,일반보험료,자동차보험견적,모바일,40대,여,11시,확장소재,14786,352,620576,2.38,1763,1.9
2026-05-11,26년_신년_검색프로모션,일반보험료,온라인자동차보험,PC,30대,남,07시,확장소재,15051,620,979600,4.12,1580,1.9
2026-05-11,26년_신년_검색프로모션,특약보험료,온라인자동차보험,PC,30대,여,10시,텍스트,13176,462,1316700,3.51,2850,2.7
2026-05-12,25년_다이렉트_검색_1차,신규가입,다이렉트자동차보험,모바일,50대이상,여,18시,확장소재,10677,198,493020,1.85,2490,4.4
2026-05-12,25년_다이렉트_검색_1차,신규가입,자동차보험료비교,PC,40대,여,07시,이미지,2928,64,52992,2.19,828,1.3
2026-05-12,25년_다이렉트_검색_1차,신규가입,자동차보험료비교,모바일,30대,여,12시,텍스트,18588,378,1286712,2.03,3404,3.5
2026-05-12,25년_다이렉트_검색_2차,신규가입,온라인자동차보험,모바일,50대이상,여,20시,이미지,14788,174,145812,1.18,838,2.9
2026-05-12,26년_다이렉트_브랜드검색,브랜드,자동차보험견적,모바일,20대,여,09시,이미지,15249,132,271392,0.87,2056,4.4
2026-05-12,26년_다이렉트_브랜드검색,브랜드,자동차보험료비교,모바일,20대,여,17시,텍스트,17868,717,945723,4.01,1319,3.7
2026-05-12,26년_다이렉트_브랜드검색,신규가입,온라인자동차보험,모바일,30대,남,10시,확장소재,19780,863,1543044,4.36,1788,4.3
2026-05-12,26년_다이렉트_브랜드검색,일반보험료,온라인자동차보험,PC,50대이상,여,14시,이미지,19830,294,389844,1.48,1326,2.8
2026-05-12,26년_다이렉트_브랜드검색,특약보험료,자동차보험료비교,모바일,30대,여,19시,확장소재,17924,654,2124192,3.65,3248,3.1
2026-05-12,26년_신년_검색프로모션,브랜드,온라인자동차보험,PC,30대,남,17시,확장소재,12655,440,1223200,3.48,2780,1.9
2026-05-12,26년_신년_검색프로모션,일반보험료,다이렉트자동차보험,모바일,50대이상,여,19시,텍스트,3308,30,101460,0.91,3382,1.2
2026-05-13,25년_다이렉트_검색_1차,신규가입,다이렉트자동차보험,모바일,40대,남,19시,텍스트,4609,50,146700,1.08,2934,3.3
2026-05-13,25년_다이렉트_검색_1차,특약보험료,다이렉트자동차보험,PC,30대,여,23시,확장소재,18833,173,512599,0.92,2963,2.4
2026-05-13,25년_다이렉트_검색_2차,일반보험료,자동차보험,모바일,30대,여,13시,이미지,18779,592,1649312,3.15,2786,4.2
2026-05-13,26년_다이렉트_브랜드검색,브랜드,다이렉트자동차보험,PC,30대,여,08시,확장소재,14129,433,1398590,3.06,3230,1.5
2026-05-13,26년_다이렉트_브랜드검색,신규가입,자동차보험견적,PC,50대이상,여,14시,확장소재,2856,92,101752,3.22,1106,1.7
2026-05-13,26년_다이렉트_브랜드검색,일반보험료,자동차보험,모바일,50대이상,남,23시,이미지,5609,112,362096,2.0,3233,3.8
2026-05-13,26년_다이렉트_브랜드검색,일반보험료,자동차보험료비교,PC,30대,남,14시,텍스트,8857,166,352584,1.87,2124,3.7
2026-05-13,26년_다이렉트_브랜드검색,특약보험료,다이렉트자동차보험,모바일,50대이상,남,07시,텍스트,6291,54,115182,0.86,2133,3.2
2026-05-14,25년_다이렉트_검색_1차,일반보험료,자동차보험,모바일,50대이상,여,16시,텍스트,13649,182,542360,1.33,2980,2.0
2026-05-14,25년_다이렉트_검색_1차,특약보험료,자동차보험료비교,모바일,30대,여,21시,이미지,14260,522,574200,3.66,1100,2.0
2026-05-14,25년_다이렉트_검색_2차,신규가입,자동차보험견적,모바일,20대,남,19시,이미지,781,7,20762,0.9,2966,1.9
2026-05-14,25년_다이렉트_검색_2차,특약보험료,자동차보험,PC,40대,남,07시,확장소재,2146,64,196992,2.98,3078,2.4
2026-05-14,26년_다이렉트_브랜드검색,일반보험료,자동차보험견적,PC,30대,남,14시,이미지,13265,194,337366,1.46,1739,2.4
2026-05-14,26년_다이렉트_브랜드검색,일반보험료,자동차보험견적,모바일,40대,여,10시,이미지,13232,141,392262,1.07,2782,1.9
2026-05-14,26년_다이렉트_브랜드검색,일반보험료,자동차보험료비교,모바일,30대,남,17시,이미지,1739,58,53650,3.34,925,4.3
2026-05-14,26년_다이렉트_브랜드검색,특약보험료,온라인자동차보험,PC,30대,남,07시,이미지,16421,658,925806,4.01,1407,3.1
2026-05-14,26년_신년_검색프로모션,브랜드,자동차보험견적,모바일,40대,남,08시,이미지,18278,338,485368,1.85,1436,1.9
2026-05-14,26년_신년_검색프로모션,브랜드,자동차보험료비교,모바일,20대,여,23시,이미지,4068,138,365286,3.39,2647,3.1
2026-05-15,25년_다이렉트_검색_1차,브랜드,다이렉트자동차보험,PC,30대,남,18시,이미지,4110,174,344346,4.23,1979,3.0
2026-05-15,25년_다이렉트_검색_1차,브랜드,자동차보험,PC,30대,남,15시,이미지,1786,59,109858,3.3,1862,2.9
2026-05-15,25년_다이렉트_검색_1차,일반보험료,자동차보험료비교,모바일,50대이상,여,16시,확장소재,5306,153,528156,2.88,3452,2.7
2026-05-15,25년_다이렉트_검색_2차,신규가입,자동차보험,모바일,50대이상,여,12시,텍스트,4614,174,564456,3.77,3244,3.8
2026-05-15,25년_다이렉트_검색_2차,일반보험료,다이렉트자동차보험,모바일,50대이상,남,13시,텍스트,16052,626,2049524,3.9,3274,3.5
2026-05-15,25년_다이렉트_검색_2차,특약보험료,온라인자동차보험,PC,40대,남,18시,텍스트,12063,309,260178,2.56,842,3.7
2026-05-15,26년_다이렉트_브랜드검색,일반보험료,자동차보험,모바일,30대,여,07시,이미지,4940,165,348150,3.34,2110,3.4
2026-05-15,26년_다이렉트_브랜드검색,일반보험료,자동차보험,모바일,40대,여,07시,텍스트,6204,248,474176,4.0,1912,4.1
2026-05-15,26년_다이렉트_브랜드검색,특약보험료,온라인자동차보험,모바일,20대,남,17시,텍스트,3489,92,269744,2.64,2932,4.0
2026-05-15,26년_신년_검색프로모션,신규가입,온라인자동차보험,PC,20대,남,07시,이미지,4931,157,305679,3.18,1947,4.4
2026-05-15,26년_신년_검색프로모션,일반보험료,자동차보험견적,모바일,50대이상,여,10시,확장소재,13095,446,754186,3.41,1691,3.4
2026-05-16,25년_다이렉트_검색_1차,브랜드,온라인자동차보험,모바일,30대,여,07시,텍스트,13895,431,540905,3.1,1255,3.7
2026-05-16,25년_다이렉트_검색_1차,일반보험료,자동차보험,PC,50대이상,여,10시,확장소재,16956,338,917332,1.99,2714,2.3
2026-05-16,25년_다이렉트_검색_1차,특약보험료,온라인자동차보험,PC,20대,여,14시,확장소재,10400,326,974088,3.13,2988,3.2
2026-05-16,25년_다이렉트_검색_2차,신규가입,온라인자동차보험,PC,30대,남,20시,텍스트,2326,76,189468,3.27,2493,3.6
2026-05-16,25년_다이렉트_검색_2차,신규가입,온라인자동차보험,PC,30대,남,22시,이미지,5510,171,386802,3.1,2262,3.1
2026-05-16,25년_다이렉트_검색_2차,신규가입,자동차보험견적,모바일,50대이상,여,09시,확장소재,6252,244,837164,3.9,3431,3.7
2026-05-16,25년_다이렉트_검색_2차,일반보험료,다이렉트자동차보험,PC,30대,여,21시,텍스트,1161,33,108900,2.84,3300,1.8
2026-05-16,25년_다이렉트_검색_2차,일반보험료,자동차보험,모바일,20대,남,08시,이미지,6282,111,266511,1.77,2401,2.5
2026-05-16,26년_다이렉트_브랜드검색,일반보험료,자동차보험,모바일,30대,남,07시,확장소재,1487,23,53958,1.55,2346,2.0
2026-05-16,26년_다이렉트_브랜드검색,특약보험료,온라인자동차보험,PC,30대,여,22시,확장소재,2235,71,229188,3.18,3228,2.7
2026-05-16,26년_다이렉트_브랜드검색,특약보험료,자동차보험견적,모바일,50대이상,여,17시,텍스트,7623,194,200984,2.54,1036,1.6
2026-05-16,26년_신년_검색프로모션,신규가입,자동차보험견적,모바일,30대,여,13시,텍스트,12043,153,367659,1.27,2403,3.6
2026-05-16,26년_신년_검색프로모션,일반보험료,온라인자동차보험,PC,30대,여,20시,텍스트,4906,68,81940,1.39,1205,2.8
2026-05-17,25년_다이렉트_검색_1차,브랜드,자동차보험견적,모바일,30대,여,09시,이미지,9156,110,164890,1.2,1499,3.3
2026-05-17,25년_다이렉트_검색_1차,특약보험료,자동차보험견적,모바일,20대,남,23시,텍스트,8493,127,215900,1.5,1700,1.9
2026-05-17,25년_다이렉트_검색_1차,특약보험료,자동차보험료비교,PC,40대,여,21시,텍스트,5578,93,178746,1.67,1922,1.4
2026-05-17,25년_다이렉트_검색_2차,일반보험료,다이렉트자동차보험,모바일,50대이상,남,07시,텍스트,5417,209,695970,3.86,3330,2.5
2026-05-17,25년_다이렉트_검색_2차,특약보험료,자동차보험,모바일,20대,여,06시,확장소재,19862,413,1078343,2.08,2611,3.1
2026-05-17,26년_다이렉트_브랜드검색,특약보험료,다이렉트자동차보험,PC,40대,남,08시,확장소재,10840,333,539127,3.07,1619,1.8
2026-05-17,26년_다이렉트_브랜드검색,특약보험료,자동차보험견적,모바일,30대,남,22시,텍스트,1093,27,69336,2.47,2568,3.2
2026-05-17,26년_신년_검색프로모션,특약보험료,자동차보험,PC,30대,여,16시,이미지,5679,122,382348,2.15,3134,1.4
2026-05-17,26년_신년_검색프로모션,특약보험료,자동차보험견적,모바일,50대이상,남,11시,텍스트,8467,105,93555,1.24,891,2.2
2026-05-17,26년_신년_검색프로모션,특약보험료,자동차보험료비교,PC,20대,여,11시,확장소재,2049,29,82476,1.42,2844,3.7
2026-05-18,25년_다이렉트_검색_1차,브랜드,온라인자동차보험,모바일,30대,남,15시,확장소재,6478,286,921206,4.41,3221,2.8
2026-05-18,25년_다이렉트_검색_1차,특약보험료,온라인자동차보험,PC,30대,여,17시,확장소재,12732,277,734050,2.18,2650,3.0
2026-05-18,25년_다이렉트_검색_2차,브랜드,자동차보험,PC,40대,남,13시,텍스트,19131,313,518015,1.64,1655,4.1
2026-05-18,25년_다이렉트_검색_2차,일반보험료,다이렉트자동차보험,모바일,20대,남,13시,이미지,12758,419,856855,3.28,2045,4.0
2026-05-18,26년_다이렉트_브랜드검색,브랜드,온라인자동차보험,모바일,50대이상,남,16시,확장소재,6772,256,736256,3.78,2876,2.1
2026-05-18,26년_다이렉트_브랜드검색,브랜드,자동차보험견적,모바일,50대이상,여,19시,확장소재,3956,42,50694,1.06,1207,1.5
2026-05-18,26년_다이렉트_브랜드검색,특약보험료,다이렉트자동차보험,모바일,30대,남,21시,텍스트,6010,222,302364,3.69,1362,1.8
2026-05-18,26년_신년_검색프로모션,특약보험료,자동차보험,모바일,20대,남,23시,이미지,2876,63,111006,2.19,1762,1.6
2026-05-19,25년_다이렉트_검색_1차,신규가입,온라인자동차보험,PC,40대,남,14시,이미지,10528,151,150547,1.43,997,3.3
2026-05-19,25년_다이렉트_검색_1차,신규가입,자동차보험견적,모바일,20대,남,08시,확장소재,16421,261,582030,1.59,2230,4.0
2026-05-19,25년_다이렉트_검색_1차,일반보험료,다이렉트자동차보험,모바일,50대이상,남,09시,이미지,5517,222,482184,4.02,2172,2.7
2026-05-19,25년_다이렉트_검색_1차,특약보험료,온라인자동차보험,모바일,50대이상,여,07시,이미지,11322,292,386900,2.58,1325,3.6
2026-05-19,25년_다이렉트_검색_2차,브랜드,다이렉트자동차보험,PC,30대,남,09시,확장소재,11654,308,831908,2.64,2701,1.7
2026-05-19,25년_다이렉트_검색_2차,신규가입,다이렉트자동차보험,PC,30대,여,13시,텍스트,19344,221,653055,1.14,2955,3.3
2026-05-19,25년_다이렉트_검색_2차,신규가입,자동차보험견적,모바일,30대,여,20시,텍스트,15879,319,822382,2.01,2578,4.0
2026-05-19,26년_다이렉트_브랜드검색,신규가입,자동차보험,모바일,30대,남,19시,확장소재,17332,316,728696,1.82,2306,2.5
