가입일,캠페인,키워드,디바이스,보험료계산완료건수,가입건수,매출
2026-05-13,25년_다이렉트_검색_2차,자동차보험견적,모바일,12,0,0
2026-05-14,25년_다이렉트_검색_2차,다이렉트자동차보험,모바일,24,5,3680730
2026-05-14,26년_신년_검색프로모션,자동차보험,모바일,5,0,0
2026-05-14,26년_신년_검색프로모션,자동차보험료비교,모바일,14,0,0
2026-05-14,25년_다이렉트_검색_1차,자동차보험,모바일,24,5,1709895
2026-05-14,26년_신년_검색프로모션,다이렉트자동차보험,모바일,5,0,0
2026-05-15,26년_다이렉트_브랜드검색,다이렉트자동차보험,PC,14,2,1326090
2026-05-15,26년_신년_검색프로모션,자동차보험견적,PC,3,0,0
2026-05-16,26년_다이렉트_브랜드검색,자동차보험견적,PC,6,0,0
2026-05-16,25년_다이렉트_검색_2차,온라인자동차보험,PC,2,0,0
2026-05-17,26년_다이렉트_브랜드검색,자동차보험료비교,PC,7,1,387315
2026-05-17,26년_다이렉트_브랜드검색,자동차보험견적,모바일,17,1,679656
2026-05-17,26년_다이렉트_브랜드검색,자동차보험,모바일,18,3,2331861
2026-05-18,25년_다이렉트_검색_2차,자동차보험견적,모바일,12,1,359587
2026-05-18,25년_다이렉트_검색_1차,자동차보험,모바일,17,3,2699535
2026-05-19,26년_다이렉트_브랜드검색,자동차보험료비교,PC,11,2,859752
2026-05-19,26년_다이렉트_브랜드검색,자동차보험,모바일,20,1,739679
2026-05-19,26년_신년_검색프로모션,다이렉트자동차보험,모바일,13,2,1557830
2026-05-20,25년_다이렉트_검색_2차,다이렉트자동차보험,PC,20,5,4232030
2026-05-20,25년_다이렉트_검색_2차,자동차보험견적,PC,4,0,0
2026-05-21,25년_다이렉트_검색_1차,온라인자동차보험,모바일,5,0,0
2026-05-21,25년_다이렉트_검색_2차,자동차보험견적,모바일,22,6,3606420
2026-05-21,26년_다이렉트_브랜드검색,자동차보험,모바일,12,1,420389
2026-05-21,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,21,2,1791506
2026-05-22,26년_다이렉트_브랜드검색,자동차보험료비교,모바일,10,0,0
2026-05-22,26년_신년_검색프로모션,자동차보험,모바일,2,0,0
2026-05-22,26년_신년_검색프로모션,자동차보험견적,모바일,4,0,0
2026-05-22,25년_다이렉트_검색_2차,다이렉트자동차보험,PC,20,4,2074356
2026-05-23,25년_다이렉트_검색_1차,자동차보험,PC,16,2,837796
2026-05-23,26년_신년_검색프로모션,자동차보험료비교,모바일,15,4,2594244
2026-05-23,25년_다이렉트_검색_1차,자동차보험견적,모바일,2,0,0
2026-05-23,25년_다이렉트_검색_2차,자동차보험견적,PC,21,6,2167632
2026-05-23,26년_신년_검색프로모션,온라인자동차보험,PC,19,3,2280456
2026-05-24,26년_신년_검색프로모션,다이렉트자동차보험,모바일,4,0,0
2026-05-24,26년_신년_검색프로모션,다이렉트자동차보험,모바일,8,0,0
2026-05-24,25년_다이렉트_검색_1차,자동차보험견적,PC,22,0,0
2026-05-25,26년_신년_검색프로모션,자동차보험견적,PC,16,4,3418672
2026-05-25,26년_다이렉트_브랜드검색,자동차보험,모바일,8,0,0
2026-05-25,25년_다이렉트_검색_1차,자동차보험견적,PC,11,2,686282
2026-05-25,25년_다이렉트_검색_2차,자동차보험료비교,PC,20,1,347193
2026-05-26,26년_신년_검색프로모션,자동차보험견적,PC,24,5,2889430
2026-05-26,25년_다이렉트_검색_2차,자동차보험료비교,모바일,0,0,0
2026-05-26,25년_다이렉트_검색_2차,자동차보험,PC,1,0,0
2026-05-27,25년_다이렉트_검색_1차,다이렉트자동차보험,PC,0,0,0
2026-05-27,26년_신년_검색프로모션,자동차보험,PC,2,0,0
2026-05-28,25년_다이렉트_검색_1차,자동차보험견적,PC,7,0,0
2026-05-28,25년_다이렉트_검색_1차,자동차보험,PC,15,1,357089
2026-05-28,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,4,0,0
2026-05-29,25년_다이렉트_검색_1차,온라인자동차보험,모바일,23,6,3629682
2026-05-29,26년_다이렉트_브랜드검색,다이렉트자동차보험,모바일,22,4,2064724
2026-05-29,26년_신년_검색프로모션,다이렉트자동차보험,모바일,10,0,0
2026-05-30,26년_다이렉트_브랜드검색,자동차보험료비교,모바일,22,3,1229862
2026-05-30,26년_신년_검색프로모션,자동차보험견적,PC,5,0,0
2026-05-31,25년_다이렉트_검색_1차,자동차보험료비교,PC,11,1,799935
2026-05-31,26년_다이렉트_브랜드검색,자동차보험료비교,모바일,13,1,630752
2026-05-31,25년_다이렉트_검색_1차,자동차보험견적,모바일,15,4,3590996
2026-06-01,25년_다이렉트_검색_2차,온라인자동차보험,모바일,20,2,1526656
2026-06-01,26년_다이렉트_브랜드검색,자동차보험,PC,0,0,0
2026-06-02,26년_신년_검색프로모션,자동차보험,PC,4,0,0
2026-06-02,26년_신년_검색프로모션,온라인자동차보험,모바일,14,3,2045250
2026-06-02,26년_신년_검색프로모션,자동차보험견적,PC,2,0,0
2026-06-02,25년_다이렉트_검색_1차,다이렉트자동차보험,모바일,17,1,872204
2026-06-02,26년_신년_검색프로모션,자동차보험,PC,17,1,768557
2026-06-03,26년_신년_검색프로모션,자동차보험견적,PC,13,1,738643
2026-06-03,25년_다이렉트_검색_2차,자동차보험료비교,모바일,4,0,0
2026-06-03,26년_다이렉트_브랜드검색,온라인자동차보험,PC,22,1,325566
2026-06-03,25년_다이렉트_검색_1차,자동차보험,모바일,8,1,805463
2026-06-03,26년_다이렉트_브랜드검색,자동차보험,PC,19,0,0
2026-06-04,26년_신년_검색프로모션,자동차보험,PC,4,0,0
2026-06-04,25년_다이렉트_검색_1차,자동차보험료비교,PC,3,0,0
2026-06-05,26년_다이렉트_브랜드검색,자동차보험견적,모바일,21,6,3438306
2026-06-05,25년_다이렉트_검색_1차,온라인자동차보험,모바일,0,0,0
2026-06-05,25년_다이렉트_검색_2차,자동차보험료비교,모바일,13,1,871210
2026-06-06,26년_신년_검색프로모션,자동차보험견적,모바일,20,0,0
2026-06-06,25년_다이렉트_검색_2차,자동차보험,PC,18,4,2880524
2026-06-06,26년_신년_검색프로모션,온라인자동차보험,PC,9,0,0
2026-06-06,26년_다이렉트_브랜드검색,다이렉트자동차보험,모바일,4,0,0
2026-06-06,25년_다이렉트_검색_1차,자동차보험,모바일,14,3,2313351
2026-06-07,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,10,1,639999
2026-06-07,26년_다이렉트_브랜드검색,자동차보험료비교,모바일,1,0,0
2026-06-07,25년_다이렉트_검색_2차,다이렉트자동차보험,PC,22,1,477273
2026-06-08,26년_다이렉트_브랜드검색,온라인자동차보험,PC,5,0,0
2026-06-08,26년_신년_검색프로모션,미상,PC,18,0,0
2026-06-08,25년_다이렉트_검색_1차,자동차보험견적,PC,17,4,3263696
2026-06-08,26년_신년_검색프로모션,온라인자동차보험,모바일,4,0,0
2026-06-09,25년_다이렉트_검색_1차,자동차보험,PC,22,2,1626898
2026-06-09,26년_다이렉트_브랜드검색,자동차보험견적,PC,11,2,785892
2026-06-10,25년_다이렉트_검색_2차,자동차보험,모바일,12,1,791797
2026-06-10,26년_신년_검색프로모션,자동차보험견적,PC,18,2,1611092
2026-06-10,26년_다이렉트_브랜드검색,자동차보험,PC,0,0,0
2026-06-10,26년_신년_검색프로모션,다이렉트자동차보험,PC,7,0,0
2026-06-11,26년_신년_검색프로모션,자동차보험료비교,모바일,17,0,0
2026-06-11,26년_신년_검색프로모션,자동차보험견적,PC,9,0,0
2026-06-12,26년_신년_검색프로모션,다이렉트자동차보험,모바일,5,0,0
2026-06-12,26년_신년_검색프로모션,미상,모바일,15,2,1160382
2026-06-13,26년_다이렉트_브랜드검색,자동차보험,PC,5,0,0
2026-06-13,26년_신년_검색프로모션,다이렉트자동차보험,모바일,0,0,0
2026-06-13,26년_다이렉트_브랜드검색,자동차보험견적,모바일,18,0,0
2026-06-13,26년_신년_검색프로모션,자동차보험료비교,PC,10,0,0
2026-06-13,26년_다이렉트_브랜드검색,자동차보험,PC,17,1,879156
2026-06-14,26년_다이렉트_브랜드검색,자동차보험료비교,PC,10,1,691003
2026-06-14,25년_다이렉트_검색_1차,자동차보험,모바일,17,0,0
2026-06-14,26년_다이렉트_브랜드검색,자동차보험,모바일,3,0,0
2026-06-15,25년_다이렉트_검색_1차,자동차보험료비교,PC,8,0,0
2026-06-15,25년_다이렉트_검색_1차,자동차보험견적,PC,13,1,432342
2026-06-16,25년_다이렉트_검색_2차,자동차보험료비교,모바일,15,4,1608132
2026-06-16,26년_다이렉트_브랜드검색,자동차보험료비교,PC,14,0,0
2026-06-17,25년_다이렉트_검색_1차,다이렉트자동차보험,모바일,21,5,1935990
2026-06-17,25년_다이렉트_검색_2차,다이렉트자동차보험,PC,24,0,0
2026-06-17,25년_다이렉트_검색_1차,자동차보험료비교,모바일,15,2,1331206
2026-06-17,26년_다이렉트_브랜드검색,자동차보험,PC,13,2,1069952
2026-06-17,26년_신년_검색프로모션,자동차보험,PC,11,2,826942
2026-06-18,26년_다이렉트_브랜드검색,온라인자동차보험,PC,1,0,0
2026-06-18,26년_신년_검색프로모션,다이렉트자동차보험,모바일,17,2,1442076
2026-06-18,26년_신년_검색프로모션,자동차보험료비교,PC,14,2,1288766
2026-06-19,25년_다이렉트_검색_1차,다이렉트자동차보험,모바일,8,0,0
2026-06-19,26년_다이렉트_브랜드검색,온라인자동차보험,PC,10,0,0
2026-06-19,26년_다이렉트_브랜드검색,자동차보험,모바일,1,0,0
2026-06-20,25년_다이렉트_검색_1차,자동차보험,PC,8,0,0
2026-06-20,25년_다이렉트_검색_2차,자동차보험,모바일,23,4,3524728
2026-06-20,25년_다이렉트_검색_2차,온라인자동차보험,PC,10,0,0
2026-06-20,26년_다이렉트_브랜드검색,자동차보험료비교,모바일,6,1,801196
2026-06-20,25년_다이렉트_검색_1차,온라인자동차보험,PC,16,3,1043667
2026-06-21,25년_다이렉트_검색_2차,온라인자동차보험,모바일,18,1,898719
2026-06-21,25년_다이렉트_검색_2차,다이렉트자동차보험,모바일,22,5,3422195
2026-06-22,25년_다이렉트_검색_2차,자동차보험견적,PC,6,0,0
2026-06-22,26년_다이렉트_브랜드검색,자동차보험견적,PC,8,1,727516
2026-06-22,25년_다이렉트_검색_1차,자동차보험견적,모바일,3,0,0
2026-06-23,25년_다이렉트_검색_2차,다이렉트자동차보험,PC,11,2,915052
2026-06-23,25년_다이렉트_검색_1차,자동차보험료비교,PC,22,3,1168872
2026-06-23,26년_다이렉트_브랜드검색,자동차보험견적,모바일,15,1,697910
2026-06-23,26년_신년_검색프로모션,자동차보험견적,PC,4,0,0
2026-06-24,25년_다이렉트_검색_1차,자동차보험견적,PC,21,2,1343482
2026-06-24,26년_신년_검색프로모션,자동차보험견적,PC,13,1,814964
2026-06-24,25년_다이렉트_검색_1차,자동차보험,모바일,14,2,1083422
2026-06-24,26년_다이렉트_브랜드검색,자동차보험,모바일,6,1,360173
2026-06-24,26년_신년_검색프로모션,자동차보험견적,모바일,6,0,0
2026-06-25,26년_신년_검색프로모션,온라인자동차보험,PC,24,2,653638
2026-06-25,26년_다이렉트_브랜드검색,자동차보험료비교,모바일,4,0,0
2026-06-25,26년_신년_검색프로모션,온라인자동차보험,모바일,13,0,0
2026-06-25,26년_다이렉트_브랜드검색,온라인자동차보험,PC,6,0,0
2026-06-25,26년_다이렉트_브랜드검색,자동차보험,모바일,11,1,351285
2026-06-26,25년_다이렉트_검색_1차,자동차보험료비교,PC,1,0,0
2026-06-26,25년_다이렉트_검색_1차,온라인자동차보험,PC,21,3,1865244
2026-06-26,26년_신년_검색프로모션,자동차보험료비교,PC,22,6,4141422
2026-06-26,26년_신년_검색프로모션,온라인자동차보험,PC,9,2,1599118
2026-06-27,26년_신년_검색프로모션,자동차보험견적,모바일,0,0,0
2026-06-27,26년_신년_검색프로모션,온라인자동차보험,모바일,15,3,1028091
2026-06-27,25년_다이렉트_검색_1차,온라인자동차보험,PC,0,0,0
2026-06-27,26년_다이렉트_브랜드검색,자동차보험,PC,3,0,0
2026-06-27,26년_다이렉트_브랜드검색,자동차보험료비교,PC,2,0,0
2026-06-28,25년_다이렉트_검색_2차,온라인자동차보험,PC,17,4,3051756
2026-06-28,25년_다이렉트_검색_2차,자동차보험,PC,14,1,645897
2026-06-28,25년_다이렉트_검색_1차,자동차보험,모바일,20,4,1991872
2026-06-28,25년_다이렉트_검색_2차,자동차보험,PC,21,5,2770885
2026-06-28,25년_다이렉트_검색_2차,자동차보험,PC,15,0,0
2026-06-29,26년_다이렉트_브랜드검색,자동차보험,모바일,6,1,550536
2026-06-29,26년_다이렉트_브랜드검색,자동차보험견적,PC,21,3,1582107
2026-06-29,25년_다이렉트_검색_2차,온라인자동차보험,PC,12,1,311398
2026-06-29,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,22,5,1582685
2026-06-29,26년_신년_검색프로모션,자동차보험견적,PC,16,3,1909440
2026-06-30,25년_다이렉트_검색_2차,다이렉트자동차보험,모바일,16,0,0
2026-06-30,26년_신년_검색프로모션,자동차보험,PC,2,0,0
2026-06-30,26년_다이렉트_브랜드검색,온라인자동차보험,모바일,5,0,0
2026-06-30,25년_다이렉트_검색_1차,다이렉트자동차보험,PC,13,3,1271955
