customer_id,join_date,age_group,gender,region,plan_type,monthly_fee,tenure_months,churn_yn
CUST0042,2023-02-15,10대,M,경기,LTE베이직,39000,10,N
CUST0043,2023-01-24,40대,F,서울,5G스탠다드,69000,11,N
CUST0044,2023-05-15,30대,M,서울,5G프리미엄,89000,7,N
CUST0045,2019-11-07,20대,F,부산,5G프리미엄,89000,50,N
CUST0046,2022-05-31,30대,F,서울,청소년요금제,29000,19,N
CUST0047,2021-10-21,20대,F,서울,LTE베이직,39000,26,Y
CUST0048,2022-07-26,40대,M,서울,청소년요금제,29000,17,N
CUST0049,2020-09-27,30대,M,부산,LTE베이직,39000,39,N
CUST0050,2018-10-10,30대,M,부산,5G스탠다드,69000,63,N
CUST0051,2019-10-17,50대+,M,대구,청소년요금제,29000,51,Y
CUST0052,2020-07-31,30대,F,기타,데이터무제한,99000,41,N
CUST0053,2020-12-01,20대,F,인천,5G프리미엄,89000,37,N
CUST0054,2018-10-14,10대,F,대구,LTE베이직,39000,63,Y
CUST0055,2021-05-02,40대,M,대구,청소년요금제,29000,32,N
CUST0056,2023-03-20,20대,F,인천,5G프리미엄,89000,9,Y
CUST0057,2019-03-10,30대,F,경기,5G스탠다드,69000,58,N
CUST0058,2022-10-28,40대,M,대구,5G스탠다드,69000,14,N
CUST0059,2020-02-03,50대+,M,경기,5G스탠다드,69000,47,N
CUST0060,2018-07-30,20대,M,부산,5G프리미엄,89000,66,N
CUST0061,2020-02-28,30대,F,경기,5G스탠다드,69000,46,N
CUST0062,2021-05-06,40대,M,서울,5G스탠다드,69000,32,N
CUST0063,2022-04-07,30대,M,서울,5G프리미엄,89000,21,N
CUST0064,2021-10-29,40대,M,서울,5G스탠다드,69000,26,N
CUST0065,2019-07-09,30대,M,서울,LTE베이직,39000,54,N
CUST0066,2023-02-26,50대+,F,서울,5G스탠다드,69000,10,N
CUST0067,2019-09-08,30대,M,부산,5G스탠다드,69000,52,N
CUST0068,2021-11-17,30대,M,경기,LTE베이직,39000,25,N
CUST0069,2021-09-20,50대+,F,부산,LTE베이직,39000,27,N
CUST0070,2019-11-21,30대,M,부산,5G프리미엄,89000,50,N
CUST0071,2020-03-31,40대,F,부산,LTE베이직,39000,45,N
CUST0072,2020-01-17,20대,M,대구,5G프리미엄,89000,48,N
CUST0073,2020-09-13,30대,F,경기,청소년요금제,29000,40,N
CUST0074,2023-09-01,30대,F,부산,데이터무제한,99000,4,N
CUST0075,2021-11-03,20대,F,기타,5G스탠다드,69000,26,N
CUST0076,2020-07-02,40대,M,서울,LTE베이직,39000,42,N
CUST0077,2019-04-22,50대+,F,서울,LTE베이직,39000,57,N
CUST0078,2022-12-11,20대,M,인천,데이터무제한,99000,12,N
CUST0079,2021-05-15,40대,F,기타,5G스탠다드,69000,32,N
CUST0080,2022-08-08,40대,F,서울,5G스탠다드,69000,17,N
CUST0081,2022-05-02,40대,M,경기,LTE베이직,39000,20,N
CUST0082,2018-09-04,50대+,M,서울,5G프리미엄,89000,64,N
CUST0083,2020-07-07,30대,F,기타,데이터무제한,99000,42,N
CUST0084,2022-08-08,40대,F,경기,LTE베이직,39000,17,N
CUST0085,2021-01-23,10대,M,인천,5G스탠다드,69000,35,N
CUST0086,2021-05-23,30대,F,서울,청소년요금제,29000,31,N
CUST0087,2019-09-14,30대,F,대구,데이터무제한,99000,52,N
CUST0088,2021-10-06,20대,M,서울,데이터무제한,99000,27,N
CUST0089,2023-10-30,20대,F,서울,청소년요금제,29000,2,N
CUST0090,2020-10-11,30대,F,서울,LTE베이직,39000,39,N
CUST0091,2020-05-01,20대,M,서울,5G스탠다드,69000,44,N
CUST0092,2019-03-17,40대,M,부산,청소년요금제,29000,58,N
CUST0093,2021-11-21,30대,M,서울,5G스탠다드,69000,25,N
CUST0094,2018-10-24,40대,M,경기,LTE베이직,39000,63,N
CUST0095,2021-03-18,40대,M,부산,5G스탠다드,69000,33,N
CUST0096,2018-08-31,20대,M,경기,5G프리미엄,89000,64,N
CUST0097,2019-12-24,20대,M,경기,청소년요금제,29000,48,N
CUST0098,2020-10-04,50대+,F,기타,5G스탠다드,69000,39,N
CUST0099,2020-11-20,40대,M,대구,LTE베이직,39000,37,N
CUST0100,2022-10-26,40대,F,서울,5G스탠다드,69000,14,N
CUST0101,2023-11-11,30대,F,대구,데이터무제한,99000,1,N
CUST0102,2019-05-22,30대,F,경기,5G프리미엄,89000,56,N
CUST0103,2019-07-13,40대,F,서울,청소년요금제,29000,54,N
CUST0104,2023-05-13,20대,M,경기,5G스탠다드,69000,7,N
CUST0105,2023-10-16,40대,F,서울,5G스탠다드,69000,2,N
CUST0106,2021-10-09,30대,F,부산,5G스탠다드,69000,27,N
CUST0107,2022-06-26,50대+,M,경기,청소년요금제,29000,18,N
CUST0108,2022-12-18,40대,M,대구,5G스탠다드,69000,12,N
CUST0109,2023-08-17,50대+,F,기타,청소년요금제,29000,4,N
CUST0110,2019-01-28,50대+,M,경기,5G스탠다드,69000,59,N
CUST0111,2022-11-04,40대,M,경기,데이터무제한,99000,14,N
CUST0112,2021-08-10,50대+,F,인천,데이터무제한,99000,29,N
CUST0113,2018-10-30,30대,F,인천,5G프리미엄,89000,62,N
CUST0114,2022-03-20,30대,F,인천,5G스탠다드,69000,21,N
CUST0115,2022-02-16,50대+,M,경기,LTE베이직,39000,22,N
CUST0116,2022-03-06,40대,F,경기,청소년요금제,29000,22,N
CUST0117,2023-03-01,30대,M,경기,5G프리미엄,89000,10,N
CUST0118,2023-01-27,40대,M,기타,5G스탠다드,69000,11,N
CUST0119,2018-08-15,40대,M,인천,5G프리미엄,89000,65,N
CUST0120,2021-08-27,20대,M,대구,5G스탠다드,69000,28,N
CUST0121,2023-10-28,20대,M,경기,5G스탠다드,69000,2,N
CUST0122,2018-11-18,30대,F,경기,청소년요금제,29000,62,N
CUST0123,2023-03-17,30대,F,서울,5G프리미엄,89000,9,N
CUST0124,2018-11-23,40대,M,경기,LTE베이직,39000,62,Y
CUST0125,2022-09-02,30대,M,인천,청소년요금제,29000,16,N
CUST0126,2019-10-26,50대+,M,서울,청소년요금제,29000,50,N
CUST0127,2019-01-11,50대+,M,서울,5G프리미엄,89000,60,N
CUST0128,2019-07-26,30대,M,경기,청소년요금제,29000,54,N
CUST0129,2019-08-06,50대+,F,기타,청소년요금제,29000,53,N
CUST0130,2021-02-28,30대,M,대구,5G스탠다드,69000,34,N
CUST0131,2020-07-11,40대,M,대구,데이터무제한,99000,42,N
CUST0132,2021-04-03,30대,M,인천,데이터무제한,99000,33,N
CUST0133,2022-09-24,50대+,F,기타,데이터무제한,99000,15,N
CUST0134,2023-10-24,40대,F,서울,5G스탠다드,69000,2,N
CUST0135,2020-10-03,40대,F,서울,LTE베이직,39000,39,N
CUST0136,2019-12-26,50대+,F,경기,5G스탠다드,69000,48,N
CUST0137,2018-08-18,30대,F,대구,데이터무제한,99000,65,N
CUST0138,2022-08-29,40대,M,경기,5G프리미엄,89000,16,N
CUST0139,2021-08-07,40대,M,기타,LTE베이직,39000,29,N
CUST0140,2018-12-07,10대,M,기타,5G프리미엄,89000,61,N
CUST0141,2019-05-05,50대+,F,기타,5G스탠다드,69000,56,N
CUST0142,2022-05-15,30대,F,대구,5G프리미엄,89000,19,N
CUST0143,2022-01-23,20대,F,경기,청소년요금제,29000,23,N
CUST0144,2022-11-24,30대,F,부산,5G프리미엄,89000,13,N
CUST0145,2021-12-22,20대,M,서울,LTE베이직,39000,24,N
CUST0146,2019-04-22,50대+,F,대구,5G프리미엄,89000,57,N
CUST0147,2023-10-19,30대,M,경기,5G스탠다드,69000,2,N
CUST0148,2021-03-20,30대,M,서울,LTE베이직,39000,33,N
CUST0149,2022-02-23,20대,F,인천,5G프리미엄,89000,22,N
CUST0150,2019-02-21,30대,M,인천,LTE베이직,39000,59,N
CUST0151,2022-07-25,40대,M,경기,청소년요금제,29000,17,N
CUST0152,2023-05-19,50대+,F,인천,LTE베이직,39000,7,Y
CUST0153,2023-08-24,50대+,M,기타,청소년요금제,29000,4,N
CUST0154,2020-08-15,50대+,M,경기,데이터무제한,99000,41,N
CUST0155,2021-03-06,20대,F,인천,데이터무제한,99000,34,N
CUST0156,2023-06-16,30대,M,인천,청소년요금제,29000,6,N
CUST0157,2023-11-03,40대,F,경기,청소년요금제,29000,1,N
CUST0158,2023-02-23,20대,M,경기,청소년요금제,29000,10,N
CUST0159,2018-11-02,20대,M,서울,5G프리미엄,89000,62,N
CUST0160,2019-01-09,30대,M,경기,5G스탠다드,69000,60,N
CUST0161,2023-05-26,50대+,M,경기,5G스탠다드,69000,7,N
CUST0162,2021-12-06,40대,M,경기,데이터무제한,99000,25,N
CUST0163,2019-02-04,30대,M,대구,청소년요금제,29000,59,Y
CUST0164,2021-01-30,30대,M,기타,청소년요금제,29000,35,Y
CUST0165,2022-02-24,50대+,M,기타,5G스탠다드,69000,22,N
CUST0166,2019-10-12,40대,M,대구,5G프리미엄,89000,51,N
CUST0167,2018-07-27,50대+,F,인천,데이터무제한,99000,66,N
CUST0168,2022-09-15,50대+,F,대구,5G스탠다드,69000,15,N
CUST0169,2023-08-18,30대,F,기타,청소년요금제,29000,4,N
CUST0170,2019-05-31,50대+,M,서울,5G스탠다드,69000,55,N
CUST0171,2018-09-11,20대,F,기타,5G스탠다드,69000,64,N
CUST0172,2022-07-23,40대,F,서울,5G스탠다드,69000,17,Y
CUST0173,2020-02-28,20대,M,경기,데이터무제한,99000,46,N
CUST0174,2022-08-03,30대,F,인천,5G스탠다드,69000,17,N
CUST0175,2020-06-22,30대,F,경기,5G스탠다드,69000,42,N
CUST0176,2022-06-21,40대,M,인천,데이터무제한,99000,18,N
CUST0177,2021-02-06,50대+,M,기타,5G스탠다드,69000,35,N
CUST0178,2021-08-07,10대,M,경기,5G스탠다드,69000,29,N
CUST0179,2023-10-14,20대,F,경기,5G프리미엄,89000,2,N
CUST0180,2019-12-01,40대,F,기타,데이터무제한,99000,49,N
CUST0181,2020-03-16,30대,M,인천,5G스탠다드,69000,46,N
CUST0182,2019-06-05,30대,F,경기,LTE베이직,39000,55,N
CUST0183,2021-03-07,20대,M,기타,5G스탠다드,69000,34,Y
CUST0184,2021-03-19,30대,F,대구,LTE베이직,39000,33,N
CUST0185,2023-06-03,50대+,M,대구,5G프리미엄,89000,7,N
CUST0186,2019-03-27,20대,F,경기,5G스탠다드,69000,58,N
CUST0187,2022-10-07,30대,F,서울,5G스탠다드,69000,15,N
CUST0188,2022-04-12,20대,F,인천,청소년요금제,29000,20,N
CUST0189,2019-04-22,30대,M,서울,LTE베이직,39000,57,N
CUST0190,2020-05-27,30대,F,부산,5G스탠다드,69000,43,N
CUST0191,2022-08-14,50대+,F,경기,청소년요금제,29000,16,N
CUST0192,2022-04-23,30대,M,부산,5G스탠다드,69000,20,N
CUST0193,2023-04-13,30대,M,부산,청소년요금제,29000,8,N
CUST0194,2023-01-05,20대,F,경기,5G프리미엄,89000,12,N
CUST0195,2021-10-19,30대,M,서울,청소년요금제,29000,26,N
CUST0196,2018-09-07,10대,F,기타,LTE베이직,39000,64,N
CUST0197,2023-04-21,20대,M,서울,5G스탠다드,69000,8,N
CUST0198,2022-08-20,40대,F,경기,청소년요금제,29000,16,N
CUST0199,2023-09-08,20대,F,인천,5G프리미엄,89000,3,N
CUST0200,2019-04-13,50대+,F,경기,5G스탠다드,69000,57,N
CUST0201,2018-09-20,40대,F,대구,5G프리미엄,89000,64,N
CUST0202,2022-08-13,50대+,M,기타,청소년요금제,29000,16,N
CUST0203,2018-11-10,30대,M,대구,청소년요금제,29000,62,N
CUST0204,2018-11-15,40대,F,대구,5G프리미엄,89000,62,N
CUST0205,2023-03-30,40대,M,경기,데이터무제한,99000,9,N
CUST0206,2020-08-12,30대,M,기타,5G스탠다드,69000,41,N
CUST0207,2019-05-20,20대,F,부산,5G스탠다드,69000,56,N
CUST0208,2018-08-18,40대,F,경기,LTE베이직,39000,65,N
CUST0209,2020-11-27,20대,F,서울,LTE베이직,39000,37,N
CUST0210,2018-09-18,40대,F,경기,5G스탠다드,69000,64,N
CUST0211,2021-05-14,10대,F,인천,5G프리미엄,89000,32,N
CUST0212,2019-03-03,30대,M,서울,5G스탠다드,69000,58,N
CUST0213,2023-09-08,30대,F,대구,5G스탠다드,69000,3,N
CUST0214,2019-03-16,40대,M,대구,LTE베이직,39000,58,N
CUST0215,2018-11-25,40대,M,부산,데이터무제한,99000,62,N
CUST0216,2020-06-26,50대+,F,기타,청소년요금제,29000,42,N
CUST0217,2021-06-04,20대,M,서울,데이터무제한,99000,31,N
CUST0218,2018-11-23,50대+,M,서울,데이터무제한,99000,62,N
CUST0219,2020-04-02,40대,M,서울,5G스탠다드,69000,45,Y
CUST0220,2021-08-04,40대,M,인천,LTE베이직,39000,29,N
CUST0221,2022-05-06,40대,M,경기,5G프리미엄,89000,20,N
CUST0222,2018-08-02,20대,M,서울,LTE베이직,39000,65,N
CUST0223,2022-10-28,50대+,M,서울,청소년요금제,29000,14,Y
CUST0224,2018-08-25,50대+,F,기타,5G프리미엄,89000,65,N
CUST0225,2021-01-07,30대,M,대구,데이터무제한,99000,36,N
CUST0226,2019-07-03,30대,F,경기,5G프리미엄,89000,54,Y
CUST0227,2023-02-17,30대,F,경기,5G프리미엄,89000,10,N
CUST0228,2022-03-13,20대,M,인천,데이터무제한,99000,21,N
CUST0229,2021-12-05,40대,M,서울,청소년요금제,29000,25,N
CUST0230,2021-03-16,30대,F,경기,LTE베이직,39000,34,N
CUST0231,2023-06-24,30대,F,인천,5G프리미엄,89000,6,N
CUST0232,2023-10-18,10대,M,기타,데이터무제한,99000,2,N
CUST0233,2018-07-21,20대,F,기타,청소년요금제,29000,66,N
CUST0234,2019-05-25,20대,M,대구,데이터무제한,99000,56,N
CUST0235,2022-08-14,30대,M,서울,LTE베이직,39000,16,N
CUST0236,2022-10-30,40대,F,인천,청소년요금제,29000,14,N
CUST0237,2023-10-18,50대+,F,경기,5G스탠다드,69000,2,N
CUST0238,2021-07-12,40대,F,부산,5G프리미엄,89000,30,N
CUST0239,2020-12-31,10대,F,경기,5G스탠다드,69000,36,N
CUST0240,2021-07-21,20대,M,경기,청소년요금제,29000,29,N
CUST0241,2023-02-15,20대,M,경기,청소년요금제,29000,10,N
CUST0242,2020-11-08,50대+,M,서울,5G프리미엄,89000,38,N
CUST0243,2018-09-15,50대+,M,부산,5G프리미엄,89000,64,N
CUST0244,2023-06-02,40대,F,서울,LTE베이직,39000,7,N
CUST0245,2023-04-16,20대,M,경기,5G스탠다드,69000,8,N
CUST0246,2021-06-01,50대+,M,기타,청소년요금제,29000,31,N
CUST0247,2023-03-12,20대,F,대구,LTE베이직,39000,9,N
CUST0248,2023-03-08,40대,M,경기,LTE베이직,39000,9,N
CUST0249,2020-03-07,30대,M,인천,5G스탠다드,69000,46,Y
CUST0250,2018-07-18,20대,M,기타,LTE베이직,39000,66,N
CUST0251,2023-12-01,40대,F,경기,5G프리미엄,89000,1,N
CUST0252,2020-04-30,20대,F,인천,5G프리미엄,89000,44,N
CUST0253,2021-06-05,40대,F,기타,데이터무제한,99000,31,N
CUST0254,2023-05-08,30대,M,기타,데이터무제한,99000,7,Y
CUST0255,2022-05-21,10대,M,부산,LTE베이직,39000,19,N
CUST0256,2019-04-18,20대,M,기타,5G프리미엄,89000,57,N
CUST0257,2019-10-03,40대,F,대구,데이터무제한,99000,51,N
CUST0258,2021-03-01,30대,M,기타,5G스탠다드,69000,34,N
CUST0259,2020-09-03,10대,F,부산,5G스탠다드,69000,40,N
CUST0260,2021-03-28,40대,M,부산,5G프리미엄,89000,33,N
CUST0261,2023-03-22,20대,F,서울,5G프리미엄,89000,9,N
CUST0262,2020-03-10,20대,M,경기,5G프리미엄,89000,46,N
CUST0263,2022-05-05,30대,F,경기,LTE베이직,39000,20,Y
CUST0264,2022-08-28,50대+,M,서울,5G스탠다드,69000,16,N
CUST0265,2018-11-08,20대,F,부산,5G스탠다드,69000,62,N
CUST0266,2020-05-21,50대+,F,기타,LTE베이직,39000,44,N
CUST0267,2019-12-03,40대,F,인천,5G스탠다드,69000,49,N
CUST0268,2019-09-24,50대+,M,경기,5G스탠다드,69000,52,N
CUST0269,2022-06-11,30대,M,기타,5G스탠다드,69000,18,N
CUST0270,2023-06-29,20대,F,부산,LTE베이직,39000,6,N
CUST0271,2021-02-03,40대,F,서울,LTE베이직,39000,35,N
CUST0272,2019-01-14,30대,F,인천,청소년요금제,29000,60,N
CUST0273,2019-10-19,40대,F,기타,5G스탠다드,69000,51,N
CUST0274,2022-03-30,50대+,M,대구,LTE베이직,39000,21,N
CUST0275,2022-09-30,20대,M,경기,데이터무제한,99000,15,N
CUST0276,2019-01-07,50대+,F,부산,5G프리미엄,89000,60,N
CUST0277,2021-09-01,30대,F,기타,5G스탠다드,69000,28,N
CUST0278,2020-04-19,30대,M,대구,5G스탠다드,69000,45,N
CUST0279,2020-02-29,40대,F,인천,5G스탠다드,69000,46,N
CUST0280,2022-07-01,20대,F,기타,LTE베이직,39000,18,N
CUST0281,2021-11-09,20대,F,서울,청소년요금제,29000,26,N
CUST0282,2023-07-12,10대,M,경기,5G스탠다드,69000,5,N
CUST0283,2019-05-13,30대,F,기타,5G스탠다드,69000,56,N
CUST0284,2020-07-16,30대,M,서울,데이터무제한,99000,42,N
CUST0285,2020-06-25,30대,M,부산,데이터무제한,99000,42,N
CUST0286,2021-03-03,40대,F,인천,5G스탠다드,69000,34,N
CUST0287,2019-03-26,50대+,F,인천,청소년요금제,29000,58,N
CUST0288,2019-11-21,30대,M,서울,5G스탠다드,69000,50,N
CUST0289,2020-12-29,40대,M,서울,청소년요금제,29000,36,N
CUST0290,2022-06-29,20대,F,경기,데이터무제한,99000,18,Y
CUST0291,2018-11-20,30대,M,경기,데이터무제한,99000,62,N
CUST0292,2022-09-18,20대,M,부산,데이터무제한,99000,15,N
CUST0293,2021-03-13,30대,M,인천,5G스탠다드,69000,34,N
CUST0294,2023-06-09,30대,M,서울,5G스탠다드,69000,6,N
CUST0295,2022-03-03,30대,M,서울,LTE베이직,39000,22,N
CUST0296,2019-12-12,50대+,M,부산,청소년요금제,29000,49,N
CUST0297,2019-09-13,30대,M,기타,데이터무제한,99000,52,N
CUST0298,2021-05-29,30대,M,경기,5G프리미엄,89000,31,N
CUST0299,2023-07-11,40대,F,서울,5G스탠다드,69000,5,N
CUST0300,2023-11-21,40대,F,경기,5G프리미엄,89000,1,N
CUST0301,2018-09-21,50대+,M,서울,데이터무제한,99000,64,N
CUST0302,2020-09-04,50대+,F,부산,LTE베이직,39000,40,N
CUST0303,2021-09-15,10대,M,서울,데이터무제한,99000,27,N
CUST0304,2019-08-13,20대,F,경기,5G프리미엄,89000,53,N
CUST0305,2023-09-24,40대,F,경기,LTE베이직,39000,3,N
CUST0306,2018-08-02,40대,M,경기,5G프리미엄,89000,65,N
CUST0307,2020-02-14,50대+,F,경기,LTE베이직,39000,47,N
CUST0308,2019-06-17,20대,M,서울,청소년요금제,29000,55,N
CUST0309,2023-10-14,40대,M,부산,5G프리미엄,89000,2,N
CUST0310,2018-11-05,30대,F,서울,LTE베이직,39000,62,Y
CUST0311,2022-12-01,20대,F,대구,청소년요금제,29000,13,Y
CUST0312,2022-07-30,40대,F,서울,5G스탠다드,69000,17,N
CUST0313,2022-09-22,20대,F,경기,데이터무제한,99000,15,N
CUST0314,2019-02-07,50대+,M,인천,5G스탠다드,69000,59,N
CUST0315,2022-02-23,50대+,F,서울,5G스탠다드,69000,22,N
CUST0316,2023-09-01,20대,F,서울,청소년요금제,29000,4,N
CUST0317,2019-10-05,50대+,F,부산,5G프리미엄,89000,51,N
CUST0318,2018-11-08,30대,M,부산,5G스탠다드,69000,62,N
CUST0319,2022-01-11,30대,M,서울,5G프리미엄,89000,24,N
CUST0320,2019-03-26,50대+,M,서울,LTE베이직,39000,58,N
CUST0321,2021-08-08,20대,M,서울,데이터무제한,99000,29,N
CUST0322,2022-05-22,30대,F,경기,데이터무제한,99000,19,N
CUST0323,2019-05-15,50대+,M,서울,5G스탠다드,69000,56,N
CUST0324,2021-04-18,20대,M,경기,데이터무제한,99000,32,N
CUST0325,2022-08-28,40대,M,부산,데이터무제한,99000,16,N
CUST0326,2020-07-15,50대+,F,대구,청소년요금제,29000,42,N
CUST0327,2020-10-29,20대,M,기타,5G스탠다드,69000,38,N
CUST0328,2020-11-26,30대,F,서울,데이터무제한,99000,37,N
CUST0329,2019-08-25,30대,F,경기,5G스탠다드,69000,53,N
CUST0330,2020-12-06,40대,M,기타,5G프리미엄,89000,37,N
CUST0331,2018-08-23,50대+,F,기타,데이터무제한,99000,65,N
CUST0332,2019-07-31,30대,M,부산,5G프리미엄,89000,53,N
CUST0333,2019-10-10,20대,M,경기,5G스탠다드,69000,51,N
CUST0334,2019-12-23,40대,F,서울,5G프리미엄,89000,49,N
CUST0335,2021-01-09,40대,F,대구,LTE베이직,39000,36,N
CUST0336,2023-01-05,40대,F,경기,5G프리미엄,89000,12,N
CUST0337,2018-10-06,50대+,M,서울,5G스탠다드,69000,63,N
CUST0338,2020-12-05,50대+,F,서울,5G스탠다드,69000,37,N
CUST0339,2023-04-16,30대,M,부산,LTE베이직,39000,8,N
CUST0340,2022-04-04,10대,M,기타,5G스탠다드,69000,21,N
CUST0341,2019-05-16,20대,M,서울,청소년요금제,29000,56,N
CUST0342,2021-10-30,30대,M,기타,5G스탠다드,69000,26,N
CUST0343,2021-02-26,30대,M,대구,LTE베이직,39000,34,N
CUST0344,2019-07-19,10대,F,경기,5G프리미엄,89000,54,N
CUST0345,2018-10-03,10대,F,서울,LTE베이직,39000,63,N
CUST0346,2023-09-15,10대,F,경기,5G스탠다드,69000,3,N
CUST0347,2018-09-19,20대,M,인천,청소년요금제,29000,64,N
CUST0348,2022-10-01,40대,F,경기,5G스탠다드,69000,15,N
CUST0349,2019-07-04,30대,M,대구,데이터무제한,99000,54,N
CUST0350,2020-01-08,50대+,M,경기,청소년요금제,29000,48,N
CUST0351,2020-02-08,20대,M,인천,LTE베이직,39000,47,N
CUST0352,2019-05-19,20대,F,인천,5G스탠다드,69000,56,N
CUST0353,2019-12-29,50대+,F,대구,5G스탠다드,69000,48,N
CUST0354,2022-11-17,20대,F,서울,5G프리미엄,89000,13,N
CUST0355,2021-03-04,50대+,M,기타,5G프리미엄,89000,34,N
CUST0356,2018-09-30,30대,M,인천,청소년요금제,29000,63,N
CUST0357,2022-06-30,40대,F,기타,5G스탠다드,69000,18,N
CUST0358,2019-03-22,10대,M,경기,5G스탠다드,69000,58,N
CUST0359,2019-06-16,20대,F,인천,LTE베이직,39000,55,N
CUST0360,2021-07-20,40대,M,기타,LTE베이직,39000,29,N
CUST0361,2019-02-23,30대,F,부산,데이터무제한,99000,59,N
CUST0362,2022-10-22,40대,F,부산,데이터무제한,99000,14,N
CUST0363,2023-06-01,10대,M,기타,5G프리미엄,89000,7,N
CUST0364,2023-06-04,20대,F,기타,5G스탠다드,69000,7,N
CUST0365,2019-08-15,10대,M,서울,5G프리미엄,89000,53,N
CUST0366,2018-12-24,50대+,M,부산,5G프리미엄,89000,61,N
CUST0367,2023-03-17,40대,F,서울,LTE베이직,39000,9,N
CUST0368,2023-10-19,40대,M,서울,5G스탠다드,69000,2,N
CUST0369,2020-04-06,30대,F,부산,데이터무제한,99000,45,N
CUST0370,2020-05-11,40대,F,경기,청소년요금제,29000,44,N
CUST0371,2021-09-12,50대+,F,기타,5G스탠다드,69000,28,N
CUST0372,2022-09-25,30대,F,경기,데이터무제한,99000,15,N
CUST0373,2023-03-03,20대,M,기타,5G스탠다드,69000,10,N
CUST0374,2023-06-01,10대,M,대구,5G프리미엄,89000,7,N
CUST0375,2022-02-09,30대,M,경기,데이터무제한,99000,23,N
CUST0376,2023-08-03,20대,M,서울,5G스탠다드,69000,5,N
CUST0377,2020-01-02,20대,M,부산,청소년요금제,29000,48,N
CUST0378,2023-11-14,50대+,M,대구,LTE베이직,39000,1,N
CUST0379,2021-04-11,30대,M,인천,5G스탠다드,69000,33,N
CUST0380,2018-09-24,30대,M,서울,5G스탠다드,69000,64,N
CUST0381,2023-03-30,20대,M,대구,5G프리미엄,89000,9,N
CUST0382,2023-11-27,30대,M,부산,청소년요금제,29000,1,N
CUST0383,2019-05-08,40대,F,부산,5G스탠다드,69000,56,N
CUST0384,2018-10-27,50대+,M,인천,5G스탠다드,69000,63,N
CUST0385,2019-10-21,50대+,F,경기,5G프리미엄,89000,51,N
CUST0386,2020-09-07,40대,M,대구,데이터무제한,99000,40,N
CUST0387,2020-01-08,20대,F,인천,데이터무제한,99000,48,N
CUST0388,2021-05-08,30대,F,대구,LTE베이직,39000,32,Y
CUST0389,2020-06-10,40대,F,경기,5G프리미엄,89000,43,N
