voc_id,customer_id,voc_date,channel,category,sentiment,content_summary
VOC00022,CUST0161,2024-12-03,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00023,CUST0458,2024-04-16,매장,기타,부정,기타 관련 부정 피드백
VOC00024,CUST0093,2024-08-15,매장,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00025,CUST0189,2024-06-27,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00026,CUST0058,2024-05-04,매장,결제오류,부정,결제오류 관련 부정 피드백
VOC00027,CUST0341,2024-08-02,전화,상품문의,중립,상품문의 관련 중립 피드백
VOC00028,CUST0024,2024-08-03,매장,기타,부정,기타 관련 부정 피드백
VOC00029,CUST0055,2024-09-17,전화,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00030,CUST0067,2024-05-15,매장,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00031,CUST0097,2024-10-22,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00032,CUST0160,2024-10-04,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00033,CUST0436,2024-11-13,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00034,CUST0253,2024-03-11,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00035,CUST0334,2024-11-04,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00036,CUST0269,2024-09-02,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00037,CUST0321,2024-02-19,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00038,CUST0071,2024-10-01,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00039,CUST0433,2024-12-08,전화,기타,부정,기타 관련 부정 피드백
VOC00040,CUST0083,2024-03-25,전화,기타,긍정,기타 관련 긍정 피드백
VOC00041,CUST0195,2024-08-29,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00042,CUST0420,2024-08-13,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00043,CUST0281,2024-02-22,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00044,CUST0218,2024-11-24,매장,요금문의,중립,요금문의 관련 중립 피드백
VOC00045,CUST0304,2024-02-23,매장,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00046,CUST0384,2024-07-07,앱,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00047,CUST0178,2024-09-14,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00048,CUST0294,2024-10-19,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00049,CUST0454,2024-03-22,앱,기타,부정,기타 관련 부정 피드백
VOC00050,CUST0498,2024-02-18,앱,결제오류,부정,결제오류 관련 부정 피드백
VOC00051,CUST0220,2024-02-23,전화,기타,부정,기타 관련 부정 피드백
VOC00052,CUST0058,2024-09-26,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00053,CUST0018,2024-07-05,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00054,CUST0083,2024-02-24,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00055,CUST0143,2024-11-23,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00056,CUST0130,2024-09-06,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00057,CUST0270,2024-08-10,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00058,CUST0418,2024-06-24,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00059,CUST0063,2024-03-08,홈페이지,상품문의,부정,상품문의 관련 부정 피드백
VOC00060,CUST0111,2024-11-20,앱,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00061,CUST0383,2024-10-14,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00062,CUST0221,2024-09-13,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00063,CUST0258,2024-07-06,앱,상품문의,중립,상품문의 관련 중립 피드백
VOC00064,CUST0082,2024-07-23,홈페이지,상품문의,중립,상품문의 관련 중립 피드백
VOC00065,CUST0122,2024-12-15,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00066,CUST0256,2024-11-24,홈페이지,요금문의,부정,요금문의 관련 부정 피드백
VOC00067,CUST0107,2024-09-30,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00068,CUST0272,2024-06-26,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00069,CUST0053,2024-05-02,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00070,CUST0342,2024-06-06,매장,기타,부정,기타 관련 부정 피드백
VOC00071,CUST0287,2024-06-28,앱,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00072,CUST0413,2024-02-20,전화,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00073,CUST0161,2024-05-30,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00074,CUST0408,2024-03-02,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00075,CUST0050,2024-06-04,앱,기타,긍정,기타 관련 긍정 피드백
VOC00076,CUST0305,2024-05-02,전화,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00077,CUST0456,2024-11-03,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00078,CUST0491,2024-05-30,앱,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00079,CUST0362,2024-05-22,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00080,CUST0352,2024-11-26,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00081,CUST0280,2024-02-20,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00082,CUST0420,2024-05-03,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00083,CUST0309,2024-11-24,전화,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00084,CUST0486,2024-04-16,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00085,CUST0159,2024-11-09,앱,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00086,CUST0408,2024-06-16,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00087,CUST0160,2024-04-16,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00088,CUST0104,2024-06-01,홈페이지,결제오류,부정,결제오류 관련 부정 피드백
VOC00089,CUST0378,2024-10-02,매장,기타,중립,기타 관련 중립 피드백
VOC00090,CUST0470,2024-10-11,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00091,CUST0388,2024-01-20,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00092,CUST0218,2024-07-16,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00093,CUST0077,2024-07-18,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00094,CUST0162,2024-12-07,전화,기타,부정,기타 관련 부정 피드백
VOC00095,CUST0203,2024-02-25,앱,결제오류,중립,결제오류 관련 중립 피드백
VOC00096,CUST0468,2024-07-03,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00097,CUST0459,2024-03-26,매장,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00098,CUST0033,2024-06-19,매장,기타,중립,기타 관련 중립 피드백
VOC00099,CUST0288,2024-02-16,앱,상품문의,중립,상품문의 관련 중립 피드백
VOC00100,CUST0432,2024-01-15,홈페이지,상품문의,부정,상품문의 관련 부정 피드백
VOC00101,CUST0490,2024-06-16,매장,요금문의,중립,요금문의 관련 중립 피드백
VOC00102,CUST0070,2024-05-02,앱,기타,중립,기타 관련 중립 피드백
VOC00103,CUST0251,2024-03-06,매장,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00104,CUST0372,2024-07-07,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00105,CUST0171,2024-01-10,앱,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00106,CUST0160,2024-11-03,전화,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00107,CUST0089,2024-08-11,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00108,CUST0280,2024-10-24,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00109,CUST0284,2024-05-15,전화,기타,부정,기타 관련 부정 피드백
VOC00110,CUST0117,2024-07-17,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00111,CUST0048,2024-07-18,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00112,CUST0170,2024-10-26,전화,기타,중립,기타 관련 중립 피드백
VOC00113,CUST0022,2024-07-14,홈페이지,상품문의,부정,상품문의 관련 부정 피드백
VOC00114,CUST0221,2024-12-20,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00115,CUST0189,2024-01-25,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00116,CUST0198,2024-02-16,전화,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00117,CUST0265,2024-07-03,앱,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00118,CUST0096,2024-12-29,홈페이지,상품문의,중립,상품문의 관련 중립 피드백
VOC00119,CUST0081,2024-05-26,전화,기타,부정,기타 관련 부정 피드백
VOC00120,CUST0313,2024-10-26,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00121,CUST0411,2024-01-25,홈페이지,결제오류,부정,결제오류 관련 부정 피드백
VOC00122,CUST0018,2024-02-18,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00123,CUST0437,2024-04-13,앱,결제오류,중립,결제오류 관련 중립 피드백
VOC00124,CUST0390,2024-02-26,매장,요금문의,중립,요금문의 관련 중립 피드백
VOC00125,CUST0070,2024-11-03,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00126,CUST0431,2024-11-02,전화,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00127,CUST0119,2024-11-20,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00128,CUST0405,2024-04-15,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00129,CUST0184,2024-11-30,매장,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00130,CUST0265,2024-12-16,앱,결제오류,중립,결제오류 관련 중립 피드백
VOC00131,CUST0403,2024-03-13,전화,기타,중립,기타 관련 중립 피드백
VOC00132,CUST0206,2024-07-27,전화,상품문의,중립,상품문의 관련 중립 피드백
VOC00133,CUST0040,2024-11-27,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00134,CUST0266,2024-03-22,매장,상품문의,부정,상품문의 관련 부정 피드백
VOC00135,CUST0307,2024-11-21,매장,결제오류,부정,결제오류 관련 부정 피드백
VOC00136,CUST0097,2024-05-24,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00137,CUST0398,2024-11-24,전화,상품문의,중립,상품문의 관련 중립 피드백
VOC00138,CUST0319,2024-10-29,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00139,CUST0440,2024-01-17,매장,결제오류,부정,결제오류 관련 부정 피드백
VOC00140,CUST0126,2024-02-18,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00141,CUST0290,2024-04-06,앱,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00142,CUST0281,2024-05-19,매장,기타,부정,기타 관련 부정 피드백
VOC00143,CUST0202,2024-07-20,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00144,CUST0083,2024-11-08,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00145,CUST0437,2024-05-08,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00146,CUST0144,2024-04-25,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00147,CUST0422,2024-05-10,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00148,CUST0085,2024-06-29,홈페이지,상품문의,중립,상품문의 관련 중립 피드백
VOC00149,CUST0069,2024-06-16,홈페이지,기타,부정,기타 관련 부정 피드백
VOC00150,CUST0299,2024-02-10,앱,기타,긍정,기타 관련 긍정 피드백
VOC00151,CUST0068,2024-03-09,앱,기타,중립,기타 관련 중립 피드백
VOC00152,CUST0487,2024-10-03,홈페이지,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00153,CUST0222,2024-03-03,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00154,CUST0413,2024-04-27,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00155,CUST0123,2024-01-17,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00156,CUST0440,2024-05-24,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00157,CUST0106,2024-10-11,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00158,CUST0495,2024-05-31,홈페이지,요금문의,중립,요금문의 관련 중립 피드백
VOC00159,CUST0045,2024-01-22,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00160,CUST0180,2024-09-06,홈페이지,상품문의,부정,상품문의 관련 부정 피드백
VOC00161,CUST0033,2024-01-28,매장,상품문의,중립,상품문의 관련 중립 피드백
VOC00162,CUST0208,2024-05-19,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00163,CUST0089,2024-07-21,홈페이지,결제오류,부정,결제오류 관련 부정 피드백
VOC00164,CUST0205,2024-09-03,전화,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00165,CUST0441,2024-02-03,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00166,CUST0254,2024-12-08,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00167,CUST0372,2024-03-19,앱,상품문의,중립,상품문의 관련 중립 피드백
VOC00168,CUST0005,2024-07-04,앱,기타,중립,기타 관련 중립 피드백
VOC00169,CUST0055,2024-06-25,앱,상품문의,중립,상품문의 관련 중립 피드백
VOC00170,CUST0369,2024-04-30,홈페이지,요금문의,부정,요금문의 관련 부정 피드백
VOC00171,CUST0218,2024-12-24,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00172,CUST0408,2024-06-02,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00173,CUST0475,2024-05-29,앱,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00174,CUST0390,2024-02-13,앱,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00175,CUST0447,2024-08-17,앱,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00176,CUST0220,2024-06-20,매장,요금문의,중립,요금문의 관련 중립 피드백
VOC00177,CUST0298,2024-07-17,전화,요금문의,중립,요금문의 관련 중립 피드백
VOC00178,CUST0075,2024-11-14,홈페이지,요금문의,부정,요금문의 관련 부정 피드백
VOC00179,CUST0457,2024-08-09,홈페이지,요금문의,부정,요금문의 관련 부정 피드백
VOC00180,CUST0333,2024-07-06,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00181,CUST0024,2024-06-16,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00182,CUST0252,2024-08-18,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00183,CUST0402,2024-03-07,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00184,CUST0111,2024-09-20,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00185,CUST0381,2024-11-05,홈페이지,요금문의,부정,요금문의 관련 부정 피드백
VOC00186,CUST0256,2024-05-27,전화,상품문의,중립,상품문의 관련 중립 피드백
VOC00187,CUST0411,2024-05-03,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00188,CUST0031,2024-07-15,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00189,CUST0043,2024-04-11,홈페이지,결제오류,중립,결제오류 관련 중립 피드백
VOC00190,CUST0126,2024-03-25,홈페이지,결제오류,중립,결제오류 관련 중립 피드백
VOC00191,CUST0145,2024-02-15,앱,기타,부정,기타 관련 부정 피드백
VOC00192,CUST0126,2024-06-24,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00193,CUST0225,2024-02-29,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00194,CUST0480,2024-03-13,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00195,CUST0114,2024-03-09,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00196,CUST0092,2024-11-23,홈페이지,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00197,CUST0230,2024-06-05,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00198,CUST0253,2024-08-04,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00199,CUST0123,2024-11-28,매장,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00200,CUST0242,2024-01-11,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00201,CUST0130,2024-06-09,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00202,CUST0289,2024-05-14,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00203,CUST0053,2024-04-19,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00204,CUST0290,2024-06-04,앱,결제오류,부정,결제오류 관련 부정 피드백
VOC00205,CUST0412,2024-03-07,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00206,CUST0232,2024-10-13,홈페이지,상품문의,중립,상품문의 관련 중립 피드백
VOC00207,CUST0396,2024-04-05,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00208,CUST0194,2024-05-29,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00209,CUST0101,2024-06-22,앱,기타,중립,기타 관련 중립 피드백
VOC00210,CUST0377,2024-03-23,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00211,CUST0053,2024-10-28,홈페이지,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00212,CUST0054,2024-01-17,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00213,CUST0247,2024-09-09,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00214,CUST0136,2024-10-12,홈페이지,상품문의,부정,상품문의 관련 부정 피드백
VOC00215,CUST0050,2024-10-29,홈페이지,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00216,CUST0483,2024-09-25,전화,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00217,CUST0300,2024-03-27,앱,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00218,CUST0083,2024-04-06,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00219,CUST0251,2024-01-30,매장,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00220,CUST0421,2024-05-22,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00221,CUST0164,2024-02-27,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00222,CUST0109,2024-06-10,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00223,CUST0267,2024-08-01,홈페이지,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00224,CUST0081,2024-12-07,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00225,CUST0144,2024-05-04,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00226,CUST0325,2024-05-28,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00227,CUST0442,2024-02-16,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00228,CUST0245,2024-11-29,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00229,CUST0494,2024-01-13,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00230,CUST0335,2024-09-07,앱,기타,부정,기타 관련 부정 피드백
VOC00231,CUST0387,2024-12-19,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00232,CUST0167,2024-03-19,매장,상품문의,부정,상품문의 관련 부정 피드백
VOC00233,CUST0370,2024-01-13,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00234,CUST0203,2024-08-01,앱,결제오류,중립,결제오류 관련 중립 피드백
VOC00235,CUST0094,2024-02-22,전화,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00236,CUST0032,2024-10-22,앱,기타,긍정,기타 관련 긍정 피드백
VOC00237,CUST0192,2024-07-22,앱,결제오류,부정,결제오류 관련 부정 피드백
VOC00238,CUST0075,2024-10-08,매장,결제오류,부정,결제오류 관련 부정 피드백
VOC00239,CUST0293,2024-12-17,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00240,CUST0435,2024-08-15,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00241,CUST0056,2024-03-24,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00242,CUST0474,2024-05-11,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00243,CUST0370,2024-05-05,앱,기타,부정,기타 관련 부정 피드백
VOC00244,CUST0473,2024-04-28,홈페이지,상품문의,중립,상품문의 관련 중립 피드백
VOC00245,CUST0442,2024-02-15,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00246,CUST0290,2024-01-02,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00247,CUST0442,2024-01-12,전화,결제오류,중립,결제오류 관련 중립 피드백
VOC00248,CUST0040,2024-12-12,매장,상품문의,중립,상품문의 관련 중립 피드백
VOC00249,CUST0398,2024-01-27,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00250,CUST0127,2024-03-06,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00251,CUST0054,2024-08-05,앱,결제오류,중립,결제오류 관련 중립 피드백
VOC00252,CUST0279,2024-04-27,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00253,CUST0284,2024-03-27,홈페이지,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00254,CUST0061,2024-12-24,앱,결제오류,긍정,결제오류 관련 긍정 피드백
VOC00255,CUST0267,2024-09-24,전화,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00256,CUST0433,2024-07-01,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00257,CUST0244,2024-06-01,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00258,CUST0423,2024-06-09,매장,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00259,CUST0020,2024-04-14,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00260,CUST0159,2024-03-25,앱,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00261,CUST0086,2024-02-12,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00262,CUST0093,2024-07-12,앱,요금문의,중립,요금문의 관련 중립 피드백
VOC00263,CUST0442,2024-01-26,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00264,CUST0140,2024-11-13,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00265,CUST0083,2024-12-17,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00266,CUST0456,2024-06-04,앱,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00267,CUST0487,2024-10-26,홈페이지,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00268,CUST0494,2024-07-19,매장,요금문의,부정,요금문의 관련 부정 피드백
VOC00269,CUST0061,2024-11-12,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00270,CUST0013,2024-06-26,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00271,CUST0331,2024-11-15,홈페이지,결제오류,부정,결제오류 관련 부정 피드백
VOC00272,CUST0485,2024-08-19,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00273,CUST0234,2024-04-18,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00274,CUST0325,2024-03-19,전화,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00275,CUST0007,2024-09-29,앱,결제오류,부정,결제오류 관련 부정 피드백
VOC00276,CUST0273,2024-01-31,전화,상품문의,중립,상품문의 관련 중립 피드백
VOC00277,CUST0018,2024-07-26,매장,요금문의,중립,요금문의 관련 중립 피드백
VOC00278,CUST0144,2024-02-22,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00279,CUST0075,2024-10-25,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00280,CUST0238,2024-03-08,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00281,CUST0076,2024-05-30,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00282,CUST0014,2024-12-11,매장,상품문의,긍정,상품문의 관련 긍정 피드백
VOC00283,CUST0391,2024-12-05,전화,서비스불만,긍정,서비스불만 관련 긍정 피드백
VOC00284,CUST0218,2024-10-14,앱,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00285,CUST0411,2024-04-08,홈페이지,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00286,CUST0316,2024-03-25,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00287,CUST0238,2024-01-09,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00288,CUST0404,2024-06-12,전화,결제오류,부정,결제오류 관련 부정 피드백
VOC00289,CUST0299,2024-02-01,매장,결제오류,부정,결제오류 관련 부정 피드백
VOC00290,CUST0252,2024-08-16,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00291,CUST0182,2024-10-04,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00292,CUST0423,2024-12-23,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00293,CUST0399,2024-09-18,전화,서비스불만,중립,서비스불만 관련 중립 피드백
VOC00294,CUST0202,2024-05-04,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00295,CUST0110,2024-01-03,앱,상품문의,부정,상품문의 관련 부정 피드백
VOC00296,CUST0070,2024-12-19,매장,요금문의,긍정,요금문의 관련 긍정 피드백
VOC00297,CUST0261,2024-01-11,앱,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00298,CUST0366,2024-05-06,전화,요금문의,부정,요금문의 관련 부정 피드백
VOC00299,CUST0132,2024-06-05,앱,결제오류,부정,결제오류 관련 부정 피드백
VOC00300,CUST0398,2024-08-05,전화,상품문의,부정,상품문의 관련 부정 피드백
VOC00301,CUST0488,2024-07-05,전화,서비스불만,부정,서비스불만 관련 부정 피드백
VOC00302,CUST0110,2024-02-14,앱,요금문의,부정,요금문의 관련 부정 피드백
VOC00303,CUST0019,2024-01-12,전화,서비스불만,부정,서비스불만 관련 부정 피드백
