usage_id,customer_id,usage_month,data_usage_mb,call_minutes,sms_count
USG00058,CUST0273,2024-07,1766.1,22.0,27
USG00059,CUST0189,2024-11,10909.8,71.1,18
USG00060,CUST0188,2024-12,6156.8,195.6,20
USG00061,CUST0245,2024-07,16375.5,130.7,31
USG00062,CUST0087,2024-06,10456.0,47.3,26
USG00063,CUST0185,2024-10,8001.1,75.2,19
USG00064,CUST0407,2024-07,6930.5,267.9,22
USG00065,CUST0301,2024-04,2750.1,79.7,16
USG00066,CUST0087,2024-12,4111.9,92.8,23
USG00067,CUST0465,2024-06,7727.0,154.3,20
USG00068,CUST0026,2024-02,5822.1,133.0,23
USG00069,CUST0203,2024-05,2640.7,96.0,27
USG00070,CUST0325,2024-06,13319.0,84.0,32
USG00071,CUST0189,2024-12,11408.5,234.8,26
USG00072,CUST0287,2024-09,8538.2,10.0,30
USG00073,CUST0028,2024-01,9571.6,85.6,29
USG00074,CUST0426,2024-03,14627.7,230.5,22
USG00075,CUST0487,2024-04,8230.9,135.6,18
USG00076,CUST0490,2024-09,8299.4,103.8,24
USG00077,CUST0222,2024-07,1268.2,182.7,22
USG00078,CUST0398,2024-10,14723.1,119.1,16
USG00079,CUST0449,2024-07,8234.7,97.5,12
USG00080,CUST0022,2024-08,5186.7,166.0,21
USG00081,CUST0120,2024-05,2510.6,157.0,28
USG00082,CUST0290,2024-12,13266.2,36.7,21
USG00083,CUST0068,2024-07,5817.4,137.1,15
USG00084,CUST0484,2024-12,2938.0,68.8,28
USG00085,CUST0213,2024-07,21015.3,206.7,24
USG00086,CUST0424,2024-06,4077.0,62.3,20
USG00087,CUST0212,2024-11,14897.0,77.4,30
USG00088,CUST0053,2024-09,9046.3,17.6,27
USG00089,CUST0212,2024-01,1512.5,43.1,24
USG00090,CUST0328,2024-11,12790.3,111.7,14
USG00091,CUST0293,2024-10,18487.5,229.3,24
USG00092,CUST0004,2024-09,12942.1,26.1,19
USG00093,CUST0196,2024-11,3833.9,81.3,21
USG00094,CUST0040,2024-06,11467.2,112.5,22
USG00095,CUST0214,2024-10,8637.3,145.1,35
USG00096,CUST0175,2024-10,422.3,116.5,27
USG00097,CUST0467,2024-04,9175.3,73.4,28
USG00098,CUST0345,2024-06,7020.5,59.2,20
USG00099,CUST0097,2024-01,6421.9,64.0,19
USG00100,CUST0254,2024-02,5285.1,215.5,28
USG00101,CUST0070,2024-10,5686.0,76.2,20
USG00102,CUST0311,2024-09,12685.2,46.4,34
USG00103,CUST0411,2024-04,9812.2,47.6,29
USG00104,CUST0261,2024-10,10818.7,220.1,25
USG00105,CUST0144,2024-05,3376.2,110.8,21
USG00106,CUST0320,2024-04,4931.6,119.9,23
USG00107,CUST0344,2024-05,4407.7,223.6,20
USG00108,CUST0081,2024-07,3175.1,62.1,23
USG00109,CUST0383,2024-10,4646.0,121.6,16
USG00110,CUST0334,2024-03,17512.4,97.1,25
USG00111,CUST0157,2024-02,13998.4,54.4,33
USG00112,CUST0379,2024-02,5534.6,95.2,33
USG00113,CUST0315,2024-12,9197.8,180.3,21
USG00114,CUST0192,2024-07,10402.7,348.5,29
USG00115,CUST0098,2024-01,9621.0,65.5,22
USG00116,CUST0130,2024-12,9591.2,137.4,31
USG00117,CUST0210,2024-08,8974.4,113.3,24
USG00118,CUST0437,2024-05,12691.3,37.6,25
USG00119,CUST0331,2024-04,13871.9,149.5,27
USG00120,CUST0362,2024-12,3979.8,158.2,20
USG00121,CUST0475,2024-09,7158.1,75.1,23
USG00122,CUST0009,2024-02,6625.5,108.6,25
USG00123,CUST0412,2024-12,3921.7,45.2,24
USG00124,CUST0231,2024-07,6262.9,369.7,28
USG00125,CUST0050,2024-10,3794.5,319.4,32
USG00126,CUST0221,2024-03,6239.1,40.8,23
USG00127,CUST0038,2024-09,9397.9,168.7,31
USG00128,CUST0493,2024-02,6944.7,147.6,31
USG00129,CUST0445,2024-08,1891.6,57.9,15
USG00130,CUST0392,2024-03,4413.2,129.1,28
USG00131,CUST0229,2024-03,4073.8,126.6,31
USG00132,CUST0236,2024-06,10209.6,323.9,17
USG00133,CUST0161,2024-06,13266.2,136.2,34
USG00134,CUST0197,2024-04,14190.2,116.7,23
USG00135,CUST0162,2024-09,1762.1,152.1,17
USG00136,CUST0353,2024-05,2669.0,184.8,15
USG00137,CUST0384,2024-06,10647.9,70.1,19
USG00138,CUST0416,2024-07,8885.7,359.4,33
USG00139,CUST0097,2024-09,5523.2,320.5,24
USG00140,CUST0306,2024-05,3091.2,151.8,21
USG00141,CUST0327,2024-05,8136.6,181.2,25
USG00142,CUST0134,2024-10,6873.6,160.8,38
USG00143,CUST0308,2024-06,15561.6,52.8,20
USG00144,CUST0287,2024-08,16099.9,220.5,26
USG00145,CUST0265,2024-05,7459.8,166.8,28
USG00146,CUST0482,2024-12,6971.3,127.3,18
USG00147,CUST0155,2024-05,3474.2,330.0,26
USG00148,CUST0230,2024-04,7825.9,56.9,23
USG00149,CUST0425,2024-05,10919.9,64.1,27
USG00150,CUST0091,2024-03,8792.1,27.0,28
USG00151,CUST0402,2024-05,11544.1,23.9,21
USG00152,CUST0300,2024-02,11451.0,101.3,21
USG00153,CUST0383,2024-07,2708.4,96.0,24
USG00154,CUST0299,2024-10,15178.2,72.0,20
USG00155,CUST0234,2024-12,9467.2,165.6,20
USG00156,CUST0221,2024-03,14060.7,235.0,26
USG00157,CUST0050,2024-06,14794.6,152.2,23
USG00158,CUST0442,2024-04,4475.3,73.7,34
USG00159,CUST0158,2024-08,2639.5,63.5,19
USG00160,CUST0136,2024-04,6942.7,270.4,30
USG00161,CUST0013,2024-10,6507.7,26.7,27
USG00162,CUST0097,2024-09,6392.6,70.4,25
USG00163,CUST0182,2024-01,9039.8,165.0,27
USG00164,CUST0232,2024-08,10036.5,71.2,28
USG00165,CUST0381,2024-05,17038.6,144.4,30
USG00166,CUST0415,2024-03,12889.2,85.2,21
USG00167,CUST0442,2024-09,4963.5,97.0,17
USG00168,CUST0025,2024-02,8230.4,123.8,34
USG00169,CUST0480,2024-03,7117.3,89.1,27
USG00170,CUST0307,2024-09,12025.1,47.3,29
USG00171,CUST0356,2024-04,6218.9,169.4,30
USG00172,CUST0486,2024-01,9988.9,245.9,27
USG00173,CUST0400,2024-07,3808.6,383.0,17
USG00174,CUST0390,2024-02,7506.4,250.6,20
USG00175,CUST0341,2024-04,11628.2,133.8,26
USG00176,CUST0483,2024-05,4265.9,240.3,18
USG00177,CUST0091,2024-02,7228.7,390.5,21
USG00178,CUST0205,2024-08,8114.9,134.0,27
USG00179,CUST0018,2024-12,13393.2,96.1,22
USG00180,CUST0089,2024-01,2345.7,80.4,21
USG00181,CUST0408,2024-03,10325.9,111.3,20
USG00182,CUST0343,2024-03,11477.1,211.6,23
USG00183,CUST0074,2024-04,9897.3,51.1,23
USG00184,CUST0093,2024-10,5535.9,226.3,26
USG00185,CUST0053,2024-08,2675.3,185.8,30
USG00186,CUST0137,2024-09,15851.1,253.4,34
USG00187,CUST0412,2024-02,5334.1,89.6,29
USG00188,CUST0234,2024-08,8024.4,41.3,23
USG00189,CUST0145,2024-05,3450.5,52.4,20
USG00190,CUST0360,2024-07,8055.0,20.4,24
USG00191,CUST0011,2024-06,5095.4,129.5,28
USG00192,CUST0239,2024-11,6782.7,112.1,18
USG00193,CUST0076,2024-01,14217.0,153.4,26
USG00194,CUST0316,2024-10,9354.0,45.7,31
USG00195,CUST0192,2024-06,7538.3,100.1,9
USG00196,CUST0430,2024-03,4330.9,80.5,23
USG00197,CUST0189,2024-12,17572.3,102.6,23
USG00198,CUST0485,2024-07,4349.4,71.0,26
USG00199,CUST0246,2024-01,3212.2,115.2,21
USG00200,CUST0130,2024-12,6920.0,104.2,22
USG00201,CUST0225,2024-10,1837.6,27.2,18
USG00202,CUST0019,2024-11,10453.3,11.7,20
USG00203,CUST0088,2024-10,18710.7,210.7,16
USG00204,CUST0447,2024-08,10654.9,22.7,20
USG00205,CUST0325,2024-05,2643.3,111.1,21
USG00206,CUST0071,2024-11,11335.4,75.5,27
USG00207,CUST0280,2024-03,17588.4,74.1,26
USG00208,CUST0305,2024-02,6815.6,48.9,32
USG00209,CUST0301,2024-01,11512.5,75.2,35
USG00210,CUST0242,2024-01,10708.0,87.1,22
USG00211,CUST0177,2024-02,3650.8,26.4,27
USG00212,CUST0203,2024-11,15126.4,85.0,28
USG00213,CUST0046,2024-09,5677.8,56.7,21
USG00214,CUST0463,2024-03,7374.5,62.4,30
USG00215,CUST0317,2024-03,2126.9,264.0,30
USG00216,CUST0418,2024-05,13213.2,232.4,20
USG00217,CUST0456,2024-12,3104.1,93.5,23
USG00218,CUST0077,2024-11,3459.4,108.6,23
USG00219,CUST0433,2024-10,7457.5,22.7,23
USG00220,CUST0462,2024-08,7794.4,134.1,29
USG00221,CUST0025,2024-08,13328.6,43.3,30
USG00222,CUST0160,2024-05,5086.9,10.3,29
USG00223,CUST0027,2024-03,12100.9,17.4,24
USG00224,CUST0422,2024-03,17343.0,15.1,26
USG00225,CUST0391,2024-08,5983.6,134.4,27
USG00226,CUST0136,2024-12,8728.0,42.1,21
USG00227,CUST0162,2024-09,7612.9,258.3,31
USG00228,CUST0076,2024-07,9233.9,89.0,20
USG00229,CUST0412,2024-11,1891.0,148.1,28
USG00230,CUST0381,2024-10,1321.5,58.4,24
USG00231,CUST0089,2024-06,24321.6,119.4,25
USG00232,CUST0188,2024-12,4815.4,63.5,26
USG00233,CUST0029,2024-09,8609.5,23.0,24
USG00234,CUST0238,2024-10,10988.4,108.3,20
USG00235,CUST0332,2024-08,5541.4,112.6,24
USG00236,CUST0024,2024-11,10352.1,37.4,26
USG00237,CUST0286,2024-07,9823.4,193.6,25
USG00238,CUST0202,2024-09,10440.7,398.1,30
USG00239,CUST0349,2024-08,22317.6,89.6,25
USG00240,CUST0466,2024-01,3745.0,39.1,19
USG00241,CUST0313,2024-01,3091.1,71.4,24
USG00242,CUST0327,2024-10,8138.1,74.1,29
USG00243,CUST0294,2024-12,20060.8,151.7,28
USG00244,CUST0372,2024-09,6150.2,354.5,24
USG00245,CUST0054,2024-11,12469.3,220.0,23
USG00246,CUST0472,2024-10,1068.1,37.2,30
USG00247,CUST0040,2024-09,12172.4,225.1,20
USG00248,CUST0485,2024-09,4918.1,104.3,27
USG00249,CUST0487,2024-06,9803.7,63.9,36
USG00250,CUST0386,2024-05,8400.1,302.9,25
USG00251,CUST0035,2024-05,3445.1,127.8,27
USG00252,CUST0437,2024-06,8109.2,128.2,30
USG00253,CUST0402,2024-05,13692.7,83.6,25
USG00254,CUST0332,2024-08,3331.1,239.7,27
USG00255,CUST0040,2024-10,12858.6,181.0,15
USG00256,CUST0490,2024-08,4625.3,182.6,25
USG00257,CUST0345,2024-02,10069.0,35.3,29
USG00258,CUST0196,2024-01,5953.0,205.9,39
USG00259,CUST0144,2024-07,965.9,66.2,26
USG00260,CUST0433,2024-05,1980.7,27.7,23
USG00261,CUST0404,2024-09,10527.7,75.2,24
USG00262,CUST0068,2024-10,17403.4,48.8,31
USG00263,CUST0442,2024-06,30048.7,349.3,21
USG00264,CUST0316,2024-10,2076.6,32.9,25
USG00265,CUST0381,2024-11,9562.6,70.5,18
USG00266,CUST0389,2024-10,10623.0,23.5,17
USG00267,CUST0159,2024-02,9176.1,142.2,22
USG00268,CUST0366,2024-01,4074.4,124.5,27
USG00269,CUST0192,2024-05,12797.8,202.5,27
USG00270,CUST0368,2024-11,9150.9,364.9,36
USG00271,CUST0175,2024-08,13515.3,19.0,23
USG00272,CUST0146,2024-08,9850.9,154.0,23
USG00273,CUST0164,2024-10,20231.2,67.7,26
USG00274,CUST0495,2024-11,7426.3,101.1,26
USG00275,CUST0027,2024-06,5161.5,50.7,19
USG00276,CUST0245,2024-03,7045.4,186.8,36
USG00277,CUST0045,2024-12,8274.3,124.6,24
USG00278,CUST0341,2024-04,5163.8,186.2,22
USG00279,CUST0011,2024-09,10582.0,24.1,31
USG00280,CUST0344,2024-01,2932.7,64.7,19
USG00281,CUST0130,2024-09,4003.4,206.5,26
USG00282,CUST0061,2024-03,15883.1,135.3,28
USG00283,CUST0290,2024-10,14995.6,15.1,28
USG00284,CUST0467,2024-12,7660.8,98.9,27
USG00285,CUST0284,2024-10,6454.0,15.0,19
USG00286,CUST0345,2024-10,14124.8,126.4,28
USG00287,CUST0048,2024-12,5038.5,51.0,22
USG00288,CUST0447,2024-07,9765.8,137.2,24
USG00289,CUST0040,2024-09,13627.6,315.1,30
USG00290,CUST0044,2024-05,7040.9,146.1,16
USG00291,CUST0256,2024-10,4288.9,22.8,31
USG00292,CUST0369,2024-05,12005.2,180.2,22
USG00293,CUST0362,2024-06,9270.8,32.5,21
USG00294,CUST0315,2024-05,12075.6,77.3,29
USG00295,CUST0315,2024-01,7569.6,209.1,28
USG00296,CUST0078,2024-02,7906.3,57.3,16
USG00297,CUST0113,2024-03,4884.2,61.7,19
USG00298,CUST0325,2024-08,8038.4,72.1,30
USG00299,CUST0002,2024-04,16751.3,89.1,26
USG00300,CUST0097,2024-03,1824.2,71.8,18
USG00301,CUST0341,2024-07,10279.9,36.0,24
USG00302,CUST0015,2024-06,5364.6,76.9,17
USG00303,CUST0495,2024-01,10491.1,108.6,32
USG00304,CUST0498,2024-03,3337.8,173.6,15
USG00305,CUST0011,2024-11,13722.9,298.1,25
USG00306,CUST0489,2024-11,6169.8,41.4,23
USG00307,CUST0130,2024-02,16963.2,180.9,21
USG00308,CUST0426,2024-03,12502.9,147.8,22
USG00309,CUST0468,2024-10,3434.0,53.6,23
USG00310,CUST0145,2024-01,5505.6,48.6,15
USG00311,CUST0072,2024-10,9229.6,141.5,26
USG00312,CUST0118,2024-06,4547.5,34.6,40
USG00313,CUST0243,2024-03,6514.7,11.8,29
USG00314,CUST0076,2024-11,10116.7,203.6,30
USG00315,CUST0107,2024-06,18709.2,29.9,28
USG00316,CUST0106,2024-09,22319.8,108.5,34
USG00317,CUST0110,2024-06,5595.8,138.4,24
USG00318,CUST0308,2024-03,9635.3,20.3,27
USG00319,CUST0101,2024-04,4521.1,85.6,24
USG00320,CUST0018,2024-04,12377.4,216.7,28
USG00321,CUST0122,2024-08,5862.0,71.1,30
USG00322,CUST0366,2024-04,6915.7,76.3,26
USG00323,CUST0175,2024-12,7639.4,20.1,26
USG00324,CUST0405,2024-01,5328.3,136.8,27
USG00325,CUST0317,2024-08,12391.0,85.7,30
USG00326,CUST0190,2024-07,6099.6,73.3,36
USG00327,CUST0400,2024-04,11887.0,74.4,43
USG00328,CUST0406,2024-12,28514.8,124.1,31
USG00329,CUST0413,2024-02,13895.0,53.6,17
USG00330,CUST0109,2024-03,5558.9,224.6,28
USG00331,CUST0176,2024-10,3502.9,41.0,33
USG00332,CUST0166,2024-01,7812.3,145.1,33
USG00333,CUST0454,2024-02,3838.8,242.6,30
USG00334,CUST0485,2024-08,11961.4,260.3,28
USG00335,CUST0238,2024-07,12357.3,97.7,21
USG00336,CUST0192,2024-06,10588.8,76.3,31
USG00337,CUST0232,2024-02,11050.2,103.3,12
USG00338,CUST0107,2024-08,5552.9,37.1,33
USG00339,CUST0062,2024-10,9735.8,317.3,28
USG00340,CUST0111,2024-12,11342.1,94.0,19
USG00341,CUST0031,2024-01,3684.7,131.7,20
USG00342,CUST0407,2024-01,5442.4,593.8,27
USG00343,CUST0254,2024-11,6012.5,179.1,26
USG00344,CUST0068,2024-07,9046.7,7.3,27
USG00345,CUST0069,2024-05,15329.2,129.4,30
USG00346,CUST0311,2024-02,8204.4,153.8,26
USG00347,CUST0320,2024-10,17936.4,35.5,24
USG00348,CUST0053,2024-07,8774.7,84.2,21
USG00349,CUST0442,2024-09,2346.7,69.7,34
USG00350,CUST0495,2024-10,11671.2,154.9,30
USG00351,CUST0149,2024-11,4883.9,138.2,25
USG00352,CUST0415,2024-01,7696.3,507.4,29
USG00353,CUST0319,2024-06,1785.3,72.7,16
USG00354,CUST0325,2024-04,11655.0,65.5,31
USG00355,CUST0408,2024-12,13988.5,84.0,28
USG00356,CUST0389,2024-06,20177.9,406.0,21
USG00357,CUST0356,2024-02,3430.3,494.3,32
USG00358,CUST0342,2024-08,3578.0,46.5,25
USG00359,CUST0243,2024-03,7488.1,122.5,22
USG00360,CUST0048,2024-03,2887.6,91.6,32
USG00361,CUST0411,2024-10,3000.7,42.3,22
USG00362,CUST0490,2024-06,1386.6,293.4,25
USG00363,CUST0345,2024-08,13037.0,119.0,31
USG00364,CUST0223,2024-10,17531.1,333.1,16
USG00365,CUST0272,2024-10,4496.5,132.0,23
USG00366,CUST0303,2024-05,12741.1,106.8,23
USG00367,CUST0309,2024-02,2672.1,140.4,29
USG00368,CUST0415,2024-07,4213.6,167.0,34
USG00369,CUST0474,2024-05,4573.7,33.8,31
USG00370,CUST0045,2024-06,13635.9,57.5,26
USG00371,CUST0227,2024-05,8301.9,62.8,23
USG00372,CUST0472,2024-08,6451.1,3.3,27
USG00373,CUST0080,2024-07,2627.6,445.3,25
USG00374,CUST0384,2024-10,8118.4,102.5,21
USG00375,CUST0230,2024-03,11385.8,71.9,21
USG00376,CUST0486,2024-05,5469.9,195.2,32
USG00377,CUST0182,2024-06,6373.5,356.2,28
USG00378,CUST0395,2024-01,3917.3,120.0,22
USG00379,CUST0212,2024-10,8686.9,53.9,32
USG00380,CUST0464,2024-10,5385.9,45.4,21
USG00381,CUST0361,2024-12,6425.6,116.0,29
USG00382,CUST0047,2024-02,17339.1,22.3,29
USG00383,CUST0061,2024-07,10504.6,111.2,24
USG00384,CUST0024,2024-09,8949.5,275.0,23
USG00385,CUST0192,2024-10,10883.9,70.4,37
USG00386,CUST0061,2024-05,20165.1,34.8,30
USG00387,CUST0018,2024-10,7702.0,156.6,20
USG00388,CUST0009,2024-09,4658.6,124.5,19
USG00389,CUST0053,2024-10,12909.6,51.8,32
USG00390,CUST0229,2024-11,10711.1,71.6,25
USG00391,CUST0403,2024-06,9708.6,199.7,19
USG00392,CUST0293,2024-02,9936.3,58.8,25
USG00393,CUST0289,2024-02,5455.3,175.7,26
USG00394,CUST0087,2024-03,5691.2,100.5,29
USG00395,CUST0489,2024-08,10673.9,23.0,36
USG00396,CUST0244,2024-09,24711.7,55.4,27
USG00397,CUST0291,2024-10,9469.9,89.2,26
USG00398,CUST0404,2024-02,3485.0,144.9,21
USG00399,CUST0345,2024-05,10872.0,288.0,26
USG00400,CUST0483,2024-02,4772.1,13.7,26
USG00401,CUST0066,2024-01,8597.9,288.7,26
USG00402,CUST0319,2024-02,4020.7,93.4,26
USG00403,CUST0228,2024-01,7638.4,35.9,21
USG00404,CUST0475,2024-06,1669.2,116.1,28
USG00405,CUST0196,2024-06,2293.1,85.0,19
USG00406,CUST0048,2024-09,13931.5,388.1,26
USG00407,CUST0454,2024-10,5350.3,83.7,21
USG00408,CUST0335,2024-12,15996.8,176.5,27
USG00409,CUST0159,2024-07,9896.2,141.9,18
USG00410,CUST0455,2024-09,4600.0,389.2,32
USG00411,CUST0336,2024-09,5350.2,56.2,22
USG00412,CUST0459,2024-01,5829.0,75.6,23
USG00413,CUST0018,2024-11,5499.7,38.5,19
USG00414,CUST0106,2024-12,1720.4,140.1,37
USG00415,CUST0169,2024-12,8752.1,83.9,29
USG00416,CUST0315,2024-09,13370.2,115.4,26
USG00417,CUST0091,2024-02,6853.9,79.8,35
USG00418,CUST0456,2024-05,17811.7,123.3,26
USG00419,CUST0425,2024-06,8937.8,72.1,20
USG00420,CUST0390,2024-06,8211.8,46.5,31
USG00421,CUST0224,2024-11,14755.2,322.5,22
USG00422,CUST0332,2024-03,4479.1,170.2,27
USG00423,CUST0370,2024-09,2690.3,180.9,26
USG00424,CUST0176,2024-08,9378.4,155.3,23
USG00425,CUST0303,2024-06,19298.4,90.7,22
USG00426,CUST0315,2024-07,8031.3,58.1,28
USG00427,CUST0426,2024-03,3264.3,212.7,20
USG00428,CUST0216,2024-10,8081.1,47.4,20
USG00429,CUST0085,2024-07,1610.3,67.1,28
USG00430,CUST0007,2024-12,12905.2,31.3,23
USG00431,CUST0325,2024-02,28717.6,103.5,35
USG00432,CUST0071,2024-04,24656.1,65.4,28
USG00433,CUST0133,2024-08,6892.2,72.7,21
USG00434,CUST0318,2024-10,19159.7,70.4,29
USG00435,CUST0136,2024-06,14641.9,78.9,17
USG00436,CUST0402,2024-08,3294.3,68.9,25
USG00437,CUST0221,2024-05,10025.1,64.0,23
USG00438,CUST0403,2024-11,7583.0,337.0,22
USG00439,CUST0299,2024-02,4279.2,404.9,25
USG00440,CUST0124,2024-04,12642.4,175.0,30
USG00441,CUST0080,2024-06,8987.8,120.1,23
USG00442,CUST0145,2024-12,7645.5,155.5,23
USG00443,CUST0379,2024-04,16396.8,23.2,16
USG00444,CUST0229,2024-09,6566.3,64.0,29
USG00445,CUST0239,2024-05,8197.6,56.2,15
USG00446,CUST0155,2024-11,7474.5,103.6,18
USG00447,CUST0261,2024-01,13267.3,8.2,17
USG00448,CUST0027,2024-08,6902.2,20.0,22
USG00449,CUST0349,2024-05,4334.1,86.0,25
USG00450,CUST0319,2024-02,3709.4,38.6,21
USG00451,CUST0442,2024-10,6820.6,128.0,29
USG00452,CUST0143,2024-02,3599.0,128.2,30
USG00453,CUST0300,2024-06,8733.6,173.7,29
USG00454,CUST0171,2024-09,5402.3,106.3,23
USG00455,CUST0288,2024-01,9927.2,163.8,22
USG00456,CUST0356,2024-10,11333.9,18.6,23
USG00457,CUST0117,2024-02,5804.1,156.8,18
USG00458,CUST0322,2024-02,7425.6,82.9,22
USG00459,CUST0280,2024-09,6182.9,211.3,29
USG00460,CUST0144,2024-05,6188.5,62.3,21
USG00461,CUST0179,2024-07,1556.9,177.1,37
USG00462,CUST0495,2024-08,5147.2,159.0,15
USG00463,CUST0014,2024-08,6678.4,99.7,28
USG00464,CUST0182,2024-01,14937.7,7.8,29
USG00465,CUST0386,2024-09,11040.9,229.4,24
USG00466,CUST0369,2024-12,3538.0,72.7,22
USG00467,CUST0055,2024-06,1274.1,131.2,22
USG00468,CUST0154,2024-08,5666.6,40.3,31
USG00469,CUST0496,2024-06,13748.3,155.4,25
USG00470,CUST0182,2024-05,4947.1,84.9,28
USG00471,CUST0400,2024-10,4574.3,171.9,33
USG00472,CUST0025,2024-09,6071.6,40.1,21
USG00473,CUST0458,2024-04,9576.9,217.2,28
USG00474,CUST0195,2024-05,3013.6,153.5,28
USG00475,CUST0061,2024-11,5577.4,254.9,30
USG00476,CUST0293,2024-02,4803.2,24.1,26
USG00477,CUST0162,2024-11,6454.1,72.9,20
USG00478,CUST0047,2024-07,4068.1,57.7,19
USG00479,CUST0192,2024-04,16416.7,79.0,28
USG00480,CUST0433,2024-03,4198.5,12.9,20
USG00481,CUST0089,2024-09,14570.8,46.0,29
USG00482,CUST0068,2024-02,6026.9,131.8,26
USG00483,CUST0372,2024-01,16981.8,184.1,22
USG00484,CUST0185,2024-10,8645.1,48.1,25
USG00485,CUST0097,2024-01,18138.1,318.3,28
USG00486,CUST0144,2024-08,14410.1,101.8,24
USG00487,CUST0498,2024-11,11491.1,150.7,17
USG00488,CUST0467,2024-08,12003.1,267.9,19
USG00489,CUST0185,2024-02,8982.6,23.2,19
USG00490,CUST0418,2024-04,5669.8,135.5,26
USG00491,CUST0044,2024-03,4265.1,21.2,30
USG00492,CUST0475,2024-12,8895.2,72.4,26
USG00493,CUST0162,2024-05,8241.7,147.7,27
USG00494,CUST0146,2024-05,6879.6,54.8,31
USG00495,CUST0398,2024-11,10685.3,14.5,16
USG00496,CUST0171,2024-11,9883.1,159.0,23
USG00497,CUST0185,2024-07,12293.7,83.1,29
USG00498,CUST0497,2024-01,3527.1,58.3,24
USG00499,CUST0067,2024-08,15013.1,41.6,32
USG00500,CUST0218,2024-09,6856.3,47.2,21
USG00501,CUST0245,2024-07,4818.9,118.9,34
USG00502,CUST0096,2024-02,10031.8,106.1,24
USG00503,CUST0415,2024-09,7836.4,132.1,19
USG00504,CUST0083,2024-02,6126.9,47.1,21
USG00505,CUST0107,2024-10,7847.2,120.3,24
USG00506,CUST0365,2024-10,2479.8,56.5,31
USG00507,CUST0299,2024-05,9915.5,126.5,25
USG00508,CUST0185,2024-12,9239.0,226.0,33
USG00509,CUST0420,2024-12,3802.8,118.1,29
USG00510,CUST0420,2024-12,9256.5,106.4,20
USG00511,CUST0426,2024-12,4825.3,21.4,27
USG00512,CUST0009,2024-09,12956.7,77.0,29
USG00513,CUST0092,2024-01,4389.9,334.9,20
USG00514,CUST0429,2024-09,5167.0,54.2,32
USG00515,CUST0185,2024-08,12063.7,320.5,25
USG00516,CUST0442,2024-11,8420.2,169.5,27
